text,homophobia,racism,misogyny,xenophobia
rt deus sulista nao presta pra dançar,0.0,0.0,0.0,2.0
rt sulista nasce bonito ai pra equilibra fica sequelado,0.0,0.0,0.0,2.0
deixa sapatao,2.0,0.0,0.0,0.0
rt sapatao emocionada eh foda ne oq faltava msm,2.0,0.0,0.0,0.0
ditado piranha sente frio pernas,0.0,0.0,2.0,0.0
rt sapatão tudo burra menina vai pra porra tá cagando pra vc vc aí fazendo tatto pra liga rapariga,2.0,0.0,0.0,0.0
viado umas mina twitter fazem querer chorar olhos pq horrível dms,2.0,0.0,0.0,0.0
casal sapatão sempre tão lindo,2.0,0.0,1.0,0.0
gorda merda 5 rego 10 fdppppp ade fuder zé,0.0,0.0,2.0,0.0
vontade comer piranha porrada desde 2016 sumiu parece hoje tá doida pra acontecer deus segura mão papo reto,0.0,0.0,2.0,1.0
ficou arrombada,0.0,0.0,2.0,0.0
preto caralho vai fuder,0.0,2.0,1.0,0.0
umas 3 meninas sala q parece atriz pornô pqp kkk,0.0,0.0,2.0,0.0
rt 7 conto viado,2.0,0.0,0.0,0.0
inferno deve fazer compras veia pqp mulher enrolada caralho tnc,0.0,0.0,2.0,0.0
passivo come cu ativo,2.0,0.0,0.0,0.0
mulher feia tava tudo certo mulher bonita mexe coração,0.0,0.0,2.0,0.0
anda dizer dou desprezo vaca,0.0,0.0,2.0,0.0
menina biscoiteira sempre aparece pra mim tomar cu sô foda filha,0.0,0.0,2.0,0.0
sulista paulista igualmente péssimos,0.0,0.0,0.0,2.0
7 conto viado,2.0,0.0,0.0,0.0
viado nudes novos quer guerra ninguém,2.0,0.0,0.0,0.0
toda vez q vejo video fico toda boiola,2.0,0.0,0.0,0.0
tanso demais baiano larga treino vamo baianalista,0.0,0.0,0.0,2.0
putinha cavalgada kkkkkkkkkkkkkkkkkkkk misericórdia,0.0,0.0,2.0,0.0
caralho gay chato,2.0,0.0,0.0,0.0
índio curte fazer porra nenhuma salvo isolados resto querem conforto cachaça facilidades,0.0,1.0,0.0,2.0
marquei encontrar fred vagabunda passou vai acordar 20h vo mata,0.0,0.0,2.0,0.0
bixa ruim kkakakakkaka,2.0,0.0,0.0,0.0
parabéns viado agora pode ir p motel,2.0,0.0,0.0,0.0
cabeça vai explodir viado,2.0,0.0,0.0,0.0
daqui eh daqueles cara procura travesti pra come cu sigilo pq tesao mulher pinto n medo fala,2.0,0.0,0.0,0.0
rt juanfran cansou putinha madrid vai vir pra sp putinha capital,0.0,0.0,2.0,0.0
rt mc gw 420 fuma makonha 430 senta pau,0.0,0.0,2.0,0.0
homem bicha,2.0,0.0,0.0,0.0
coe putao maior carinha santo fiz vira putinha cama,0.0,0.0,2.0,0.0
carioca passa vergonha net,0.0,0.0,0.0,2.0
parabéns viado tudo bom pra cria q deus abençoe sempre sucesso pra vc,2.0,0.0,0.0,0.0
ca puta olhos ainda,0.0,0.0,2.0,0.0
rt crianças dançam infinitamente qualquer sulista,0.0,0.0,0.0,2.0
rt sapatão conhece 2 dias passam sapatão indo morar juntas,2.0,0.0,0.0,0.0
piranha sim kkkkkkkkke talarica fala kkkkkk,0.0,0.0,2.0,0.0
porra chankai assim vcs fazem ficar boiola logo cedo,2.0,0.0,0.0,0.0
calma bicha velha,2.0,0.0,0.0,0.0
ontem bêbada cismei botar mão pinto amigo viado pra saber grande kkkkkkkk,2.0,0.0,0.0,0.0
rt sapatão frouxo apaixona quer casar,2.0,0.0,1.0,0.0
mete força talento ofegante vc percebendo bate maltrata puta safada quero jatada leite cara,0.0,0.0,2.0,0.0
bofe dá machão come viado novinha perde calcinha pra organizador festa pra beber cerveja vodka plástico melhores desfiles cívicos todo mundo pegou todo mundo tá tudo bem vicentina vs ibe sempre melhor guerra,2.0,0.0,1.0,0.0
esconde ai foto japa gay putinha,3.0,0.0,2.0,3.0
piri pipiri piriguete prova q ama andando chevette,0.0,0.0,2.0,0.0
sim viado to precisando,2.0,0.0,0.0,0.0
gosta motoca kkkkkk maneirinha viado,2.0,0.0,0.0,0.0
traduzindo piranha galinha,0.0,0.0,2.0,0.0
excitou bem cu filho puta então vem dar cu d3 viado loco pra mim traste filho puta,2.0,0.0,0.0,0.0
amo vídeos pq mostra pra racistas otários q raça dominante iam descendente europeu 175 barrigudos sim negão 210 podia aceitar q todo mundo igual parar idiota,0.0,2.0,0.0,0.0
ta ai vão acharlembra entrevista falando bambi bambi macho,2.0,0.0,0.0,0.0
bixa azeda q limão,2.0,0.0,0.0,0.0
mano sla mina meio gay tipo coisa falam namorado meio viado pq mulher estereótipada fodaman kkkkkkkkk,2.0,0.0,0.0,0.0
gringo perguntando chevrolet ainda fábrica pickup heterossexuais kkkkkkk certo última vez paraná vi muitas s10 presas atoleiro enquanto unos mille passavam balançando todo passavam,2.0,0.0,0.0,1.0
rt cara máquina meter real pranha fica bem puto,0.0,0.0,2.0,0.0
kkkk frase coloquei bixa,2.0,0.0,0.0,0.0
pode chamar irmão viado ja quer bater kkkkkk,2.0,0.0,0.0,0.0
certeza viado,2.0,0.0,0.0,0.0
rt parabéns viado tmj,2.0,0.0,0.0,0.0
ainda esperou cara abrir porta puta negão kkkkk,0.0,2.0,0.0,0.0
koe viado divulga nois kkkk,2.0,0.0,0.0,0.0
mereço irmã falando virou viado kk,2.0,0.0,0.0,0.0
rt puta putinha,0.0,0.0,2.0,0.0
triste ter motivado tanto n sabíamos vagabunda relacionando amigo merece triste ter criado confiança alguém n presta agora nunca vai confiar mulher verdade causa dessa menina quer nada c vida,0.0,0.0,2.0,0.0
sulista n dirige palavra namoral,0.0,0.0,0.0,2.0
rt putinha rival,0.0,0.0,2.0,0.0
ô viado peito osso tá 14 conto kilo caralho,2.0,0.0,0.0,0.0
putinha ppk mel ,0.0,0.0,2.0,0.0
shalom viado sapatao,2.0,0.0,0.0,0.0
olha aí baitola sabe vira homo ,2.0,0.0,0.0,0.0
todo dia lembrando reservatório porra,0.0,0.0,2.0,0.0
torava todas japinha,0.0,0.0,2.0,3.0
putinha bunda grande kkkkkkkkkkkk,0.0,0.0,2.0,0.0
rt vagas abertas putinhas gtgtgtgtfav rtltltltlt entrar aonde menos esperar comenta putinha negah https…,0.0,0.0,2.0,0.0
pra inimiga mínimo ter rostinho bonito delicado considere rival cara cavalo feia cara traveco cabeçuda queixo quadrado kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk ,2.0,0.0,1.0,0.0
vadia boquete,0.0,0.0,2.0,0.0
fim vagabunda,0.0,0.0,2.0,0.0
pq q vagabunda tá rindo assim voleinaglobo,0.0,0.0,2.0,0.0
boiola,2.0,0.0,0.0,0.0
sulista direito opinião taokei,0.0,0.0,0.0,2.0
paulo chegou aqui caaa falando tava saudade deu abraço beijo cabeça falou macaca lei né,0.0,2.0,0.0,0.0
vaca comunista engraçada hein posso chamar vaca pais socialista carne pro povo então fica lixo socialista bom governo sanguinário passa pano pra 70 mil assassinatos acontecer algo liga pra pm opressora imunda,0.0,0.0,2.0,1.0
kkkkkkkkkkkkkkkkkkkkkkkk kd macaca loka q hoje tô agressividade kkkkkkkkkkkk cacetada,1.0,2.0,0.0,0.0
flugay falar merda dessas né time faz promoção todo dia ingresso 5 reais lota maraca torcida minúscula quer falar flamengo liga doidão quer comparar 3 milhões torcedores contra 32 milhões vcs piada,2.0,0.0,0.0,0.0
ter jogado branco fdp embaixo trem,0.0,2.0,0.0,0.0
pretinho perverso,0.0,2.0,0.0,0.0
rt ódio disso pq cara jogou branco escroto trilho affs,0.0,2.0,0.0,0.0
to estudando história maranhão mds lembro nada inclusive to puto fato poderíamos ter sido colonizados franceses merdas portugueses expulsaram pensou maranhenses falando francês ia ficar nooooojo,0.0,0.0,0.0,2.0
p entendeee ocs pagando pau p neguim,0.0,2.0,0.0,0.0
bebe fuma bebe fuma pia papagaio traz vagabunda,0.0,0.0,2.0,0.0
rt erro homem — desprezar mina responsa apaixonar piranha,0.0,0.0,2.0,0.0
lésbica deixa q taco pika q vira mulher rapidinha — encosta dedo mim querer pra ver corto pinto faço engolir ,2.0,0.0,1.0,0.0
bom maconheiro putinha traficante devem tá espumando raiva,0.0,0.0,2.0,0.0
rt putinha galera,0.0,0.0,2.0,0.0
remediado maioria “lixo branco” cultura grandes esperanças vida repente pode ver protagonista alguma coisa definir conservador direita sente alguém “protesta” pequeno herói supostamente,0.0,2.0,0.0,0.0
rt piranha nao muda sempre vai pisca bct pra glock cintura vemtranquilodia10,0.0,0.0,2.0,0.0
quer puxe cabelo pede tapa bunda totalmente selvagem adoro puta,0.0,0.0,2.0,0.0
deixa disso bicha kkkkkkkkk,2.0,0.0,0.0,0.0
vou matar piranha macumbeira,0.0,1.0,2.0,0.0
putinha aguenta 3,0.0,0.0,2.0,0.0
garota piranha karalho,0.0,0.0,2.0,0.0
putinha dupla penetração kkkkkkkkk,0.0,0.0,2.0,0.0
digo nada porque coisa branco ridículo,0.0,2.0,0.0,0.0
putinha aguenta 3,0.0,0.0,2.0,0.0
rala rala piranha,0.0,0.0,2.0,0.0
nega falsa hein pqp,0.0,2.0,0.0,0.0
piranha mpn uniters nowunited,0.0,0.0,2.0,0.0
satisfação porra django mete cassete brancos,0.0,2.0,0.0,0.0
rt piranha trepa más glock vemtranquilodia10,0.0,0.0,2.0,0.0
rt boa pai menina feia,0.0,0.0,2.0,0.0
putinha rebolado ,0.0,0.0,2.0,0.0
tá soltinha puta,0.0,0.0,2.0,0.0
mano oq sulistas gata mongolóide,0.0,0.0,2.0,2.0
viado jogar shades clientes,2.0,0.0,0.0,0.0
vaca merece nada fez merece lixo igual faça oq fez noção,0.0,0.0,2.0,0.0
nego leva horas pra responder tl ainda cara pau ficar tl falando ninguém pra conversar,0.0,2.0,0.0,0.0
nego falando q to vendendo drog kkkkkkkkkkk sai p lá invejoso pau cu,0.0,2.0,0.0,0.0
piranha claro tá irritando já,0.0,0.0,2.0,0.0
calma putinha dois amantes,0.0,0.0,2.0,0.0
coe cr sei nada cm vida dar ibope nego gosta disso quanto render assunto vão tá achando tá importando vao falar manda porra procurar calcinha pra lavar vive vida cr merece,0.0,2.0,3.0,0.0
branco q fuder n vê preto fazendo graças cada vídeo branco fazendo babaquices q vejo sinto nojo branca vergonha alheia cor,0.0,2.0,0.0,0.0
rt caralho mal acordei gay irritou,2.0,0.0,0.0,0.0
diz preto vitimiza foder,0.0,2.0,0.0,0.0
rt vida tá quase igual bolsonaro puta palhaço comedor traveco atriz decadente criticando,2.0,0.0,1.0,0.0
peguei irmão pulo cantando blackpink viadinho sim,2.0,0.0,0.0,0.0
problema chamado viado lycosa,2.0,0.0,0.0,0.0
sigla eh boiola,2.0,0.0,0.0,0.0
kkkkkkkkk saiii sapatão,2.0,0.0,0.0,0.0
ado ado qm ver tweet der desafios gta sa viado bolsonaro,2.0,0.0,0.0,0.0
putinha cavalgada,0.0,0.0,2.0,0.0
putinha goza litros,0.0,0.0,2.0,0.0
putinha dupla penetração,0.0,0.0,2.0,0.0
putinha coroas,0.0,0.0,2.0,0.0
bebe piranha,0.0,0.0,2.0,0.0
viado rebaixado pra série c vez aqui irmão kkkkkkkkk,2.0,0.0,0.0,0.0
putinha fogo insaciável kkkkkkkkk pqp,0.0,0.0,2.0,0.0
rt vagabunda,0.0,0.0,2.0,0.0
gosto pretinha transas ,0.0,2.0,0.0,0.0
biscate vadia q saiu lugar q mãe lixo puta merda nao sei pq vagabunda nao morre logo,0.0,0.0,2.0,0.0
sinceramente certos gays merecem direitos sim cura pra deixarem insuprortsveis pqppp vai porra cu enche sacoooooo caralho,2.0,0.0,0.0,0.0
hahaha eh sp eh gay hahahahahaha andou bixona hahaha grande dia,2.0,0.0,0.0,0.0
maiores idolos clubes flamengo zico peido rogerio ceni sabe nao reo ver bambi pagando pau pro idolos kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,2.0,0.0,0.0,0.0
nutro qualquer esperança resolução desse caso verdeviado patente tanto pf quanto mpf aparelhados serviço orcrim forte cheiro embuste tal ocorreu caso adélio agora desenha enrolation acorda povo,2.0,0.0,0.0,0.0
rt boiola sope demais,2.0,0.0,0.0,0.0
crre feminista padrão tá puta,0.0,0.0,2.0,0.0
perdi maquiagem coisa puta,0.0,0.0,2.0,0.0
ai vai toma cu moro fico indignada nego ta tpm lá q vem putaria pro lado falta derrubar sangue boca nada fude ninguem culpa vaginilda ta sangrando,0.0,2.0,1.0,0.0
carioca dramático demais,0.0,0.0,0.0,2.0
negativo viado fica,2.0,0.0,0.0,0.0
rt todo dia umas 10 carioca querendo mostrar oq namorado perdeu vai toma cu,0.0,0.0,0.0,2.0
serio ô sapatao,2.0,0.0,0.0,0.0
cade poc disse mara faz nada cadê cadê vc poc lazarenta voleinosportv,2.0,0.0,0.0,0.0
alisson nome viado kkkkk — viado deve pai nao comeu mae direito veio merda igual vc fdp,2.0,0.0,0.0,0.0
única vagabunda q tô vendo aqui vc porca fascista filha puta,0.0,0.0,2.0,0.0
putinha surra priquito kkkkkkkkkkk,0.0,0.0,2.0,0.0
bem certeza bolsonaro acertou ratos baratas manifestem bate aguentam capitão daciolo votos vá atrás pau tirar leite seringueira retardada,0.0,0.0,2.0,0.0
ihh salvador disgraça dessa ainda ta aq pra dar botadao q avisar pra q n antiantifa antifascista fascistaapesar achar ridículo usa nome grotesco pra qualquer merda q bolsonaro faz,0.0,0.0,0.0,2.0
rt viado chato,2.0,0.0,0.0,0.0
maluco esquerdista enrustido acordou chico ainda paciência pra tipo babaca,2.0,0.0,0.0,0.0
mulher lixo sim vai tomar cu,0.0,0.0,2.0,0.0
rt sabotei copo dessa piranha botei bala boa,0.0,0.0,2.0,0.0
bigodin traiçoeiro chama atenção puta calcinha cheia whisky cuca vou levar pro beco pau filha puta,0.0,0.0,2.0,0.0
siga devolta bixa cabeçona,2.0,0.0,0.0,0.0
putinha pirocas kkkkkkk,0.0,0.0,2.0,0.0
pau vadias vermelhas,0.0,0.0,2.0,0.0
pq todo gay lindo retardado,2.0,0.0,0.0,0.0
