text,hatespeech_comb
acho cara redação enem deveria perder pontos pq ficou claro sabor miojo,0
acho tatuagem colorida fica bonito gente branca,0
acho vou ai preguiça dormir xerus,0
acho vou pegar carona mimir,0
acho ridículo respeito homofóbico,1
acho argumentos ridículos mudarão opinião consegui refutar linha resumo,0
cidade viseu preparada receber 5a feira despachemse garantir vossa presença vai,0
desde hojeos parceiros media oficiais significa conteúdos exclusivos,0
acima tudo vitória esmagadora classe,0
0841 açõespreventivas local castelo branco centro abelardoluz descrição atividade tecnica vistorias,0
coisa q odio vida mulher machista qnd escuto alguma falando merda fico mt abuso pq odeio gnt burra ignorante tb,1
comissão europeia afirmou hesitará aplicar sanções contra países recusam receber,0
acompanhe agendas sobre ideologia gênero todo país,0
acorda pra trabalhar ae cambada vagabundo,1
acordar ler notícia dessasisso mãe monstro inversão valores deus,0
quer defender amigos bandidos corruptos partido podemos aceitar ficar p v,1
corrida liderança cnd obviamente armação escolha bernie próprio nunca chance,0
cota negro aumentou nesse bbb né,1
cp recrutar revisores requisitos saber falar espanhol talvez importante contratar pessoas saibam crioulo,1
acredite quiser existe agora agefluid faz parte ideologia gênero provavelmente faz parte ati,0
prova importa jair preconceituoso apenas 1a q enquadra moda atual difamalo,1
crimeia ocupada rússia durante governo obama obama bonzinho rússia,1
actualmente retardado deitou banheira nutela joaquinresponde,1
culpa brasil jeito tá única exclusivamente dilma,0
culpa estrelas vermelhas,0
culpa ter tirado antes,0
acusações estupro assédio agressão podem arruinar vida homem ata,0
conhecimento dessa doutrinação escolas triste realidade brasil mundo,1
vdd conheci dei block pessoa assim quero longe,0
ades patrocina nova versão branca neve,0
adeus obama faça boa viagem,0
adicionei vídeo lista reprodução angola china vs eua verdade,0
adicionei vídeo playlist islão mim,1
diferença vergonha cara vs vagabundo,0
diferença tribunais comissões parlamentares nestas últimas pobres nunca ninguém condenar,0
acho msm sobre vc branquelo,1
branco acha racismo coitadismo dá vontade continuar perfil,1
vc quer q chame q palmito,0
adivinha esquerda demoniza esquerda apoia,0
adorando cerimônia nao to entendendo monte país subdesenvolvido estádio,0
adoro energia daqui gosto lembrar vou trabalhar feriado gosto ter emprego então tá ótimo rs,0
adoro frase viva loucos normais acabando mundo fikdik rs,0
adoro católicos lembram bíblia deus serem homofóbicos islão religião violência,1
adquira agora livro ideologia gênero educação doutrinação sendo introduzida,0
adquira cupom pra dar pro clube macho antes 4hs chibata agora 8 blackfriday,0
advogado deputado pode renovarportugal portugal,0
advogados abandonam tal moça acusou feliciano abusoagora tal moçaataca outros deputado procurador,0
antes voltar importante abrir cerveja matinal fodase,0
aeciomaiscitadoque bolsonaro discussão sobre idiotas homofobia d,0
aeeeee dilma caiu ja posso viajar pra miami agora,0
emma stone podia ir vestida saco lixo rodeado sacos lixo dentro camião lixo nunca estaria mal oscars,0
entrevista longa super bowl hoje noite 800 pm 000 br divirtase,0
homens começam usar cor rosa,1
aeroporto mário soares faria sentido ota macau,0
esquerda assim lamenta morte bandidos diz matou pouco pra genocidas stalin matou po,1
esquerda palavra sujeira defendem ideologia sanguinária culpam sistema usam,1
esquerda próprio zumbi palmares quer libertar negros escravidão pra escravizalos outra,1
esquerda morrendo câncer terminal,1
esquerda fala sobre rebeliões justificam superlotação fala motivo fizeram irem pras prisões,0
esquerda faz monte merda gente obrigado ver mídia chamando direita extrema,0
esquerda filha puta sempre,1
esquerda gosta viver sujeira gosta feio idolatra burrice pichação arte coisa vagabundo,0
esquerda inventa problema incute cabeça pessoas problema existe repete mentira acredit,0
esquerdalha comunista anarquista sempre escumalha selvagem carregada ódio violência,0
esquerdalha protegida sistema media melhor mostrar tolerância defende nantes,1
esquerda reclama coisas inventadas própria esquerda racismo homofobia machismo nazismo cultura estupro luta classes,0
ética imprensa regional contrasta cartel comunicação social alcance nacional felicito,0
europa doente submissa espectáculos mariquice nojenta claro torna presa fácil islã,1
fdp come carne quer q vc tb coma chupar pau quer,1
6a feira dia overdose tourette hoje caravana pára ericeira auditório jaime lobo silva 22h is,0
feminazi cara pau pedir dinheiro blog ganhando boquinha 11 mil v,1
feminista pode dar alma primeiro encontro favor usecamisinha puta consciente,1
programa sexo acham absurdo famílias falarem abertamente sexo casa pq certamente,0
festa branco evento promete marcar cruzeiro diamantes 2017 aqui algumas inspirações,0
afffffff deus fica olhando funça atual dá ex,1
afff n dou nada,0
aff pq vc pinta cabelotd mundo sabe q vermelho loiro fica bom tom pele clara,1
aff negro oscar agora sao racista pfvr miga melhore,0
afinal constituição república feita senhores serve quê violada,1
afinal privatização ensino médiosuperior brasileiro fim projetos sociais ajudam milhões vai levantar país,1
afinal time presídio precisa goleiro,0
força sonho,0
forma vê altera fato,0
ixi amiga marron marromenos termino namoro foda ne,0
amiga diz eavidasegue,0
ooowwww amorrr ja chegou,0
quero saber tudooo diaaaa,0
sei lá inventei agora catita hahaha,0
abril seminário sobre ideologia gênerocom certificado 08 09 abril ariquemesro,0
agenda actualizada próximos meses,0
agenda 1112 e13 marçosp congressoevangelizarkids informações igreja batista povo,0
agendamaio palestra sobre identidade gêneroideologia gênero sãoluizmaranhão,0
agenda março 18 19 simpósio sobre ideologia gênero,0
agenda março ideologia gênero,1
agenda próximos tempos bilhetes fnac ticketline,0
agenda sãopaulo 1103 congresso evangelizar kids igreja batista povo,0
agendas dias 18 19 março campinassp simpósio ideologia genero cultos familiar,0
agende seminário palestras liderança jovens igreja geral sobre ideologia gênero 5 livros,0
gente mulher humano burra acreditar ainda possa ter amor verdadeiro,0
gente nao sabe mulher ta feliz burca nao sabe tranquilo p travesti ta roupa etc etc etc,0
cara escolhe foto fanfarrão,0
fazer grevenão trabalharé alívio brasil faz atrapalhar país devo,1
globo mentiu futebol feminino mulherada sempre iludida acredita tudo normal,1
globo mostra belezas amor carnavalmas quer saber verdade liga mostrando tda violência,0
gloria alvarez arrebenta discurso cpac 2016 sensacional,0
2 fato cidadão bem passar portar arma transformará bandido crime questão índole,0
agora deu tilt ameba cara pau comparar trump hugo chavez,1
agora oficial dinossauros extintos,0
agora umas gordas feias pra caralho,1
agora entendo nada branco pode namorar negra ue vão termina colégio pega vaga mac valeu,1
agora novos refugiados causa guerra chamados refugiados económicos sempre fugiram nada,0
agora pareço gajos viram fufas dizem fufas pq nunca experimentaram pila lol,1
agora dilma vai sair assume aécio né,0
agora refugiados ideologia cultura completamente incompatíveis aí,1
agora sim latinos imundos vão parar tentar entrar eua trump,1
agora sim correto abraço paz,0
agora sim assumo,0
agora sim pode usar perfume,0
agora sim lisboa prontos começar,0
agora tá moda colocar culpa países om engane outrosquem produziu refugiados eua otan,0
agora tudo apropriação cultural pode usar turbante,0
agora tudo faz sentido,0
agora vc pensa cidadã cuida própria filha querer impor sala aula deve ensinado filho absurdo,1
agradecese empurrão vindo outro lado atlântico dar golpe misericórdia famigerada brexit pexit,0
grande imprensa população esquerdista mostram quão democráticos sequer deixar trump começar trabalhar,0
grande questão aqui tantos furos ilegais vindo washington haverão furos negociar,0
greve estivadores pnr,0
aguarela muitos anos salazar,0
água essencial coisa maricas cerveja essencial,1
ahahaha musas direita destroem qualquer petista gleisi hoffman,0
hipocrisia esquerdista alta essência aqui ódio vai daí porra,1
ah lá filho porteiro passou enem,0
ah artista tal eh gorda eh feia tanto dinheiro n melhora fode garota eh pq eh famosa q q perfeita,1
ah perigo islão tal civilização europeia sei quê,0
ah porque nacionalismo deste gajo económico tão económico quanto pcp diferença pcp querer angola volta,0
ah valente mortalidade infantil angola vai nada oh isabel,0
ah dó presidiários vítimas fazem,0
identidade vende,0
ideologia gênero chegou alto grau insanidade identidade gênero alienígenaok,0
ai fiz 1 piada sexista machista nada disso vc burra senso humor feliz dia mulher,1
“ai luigi vc ta militando q saco” pois pq entendo privilégios ter nascido homem branco,1
imagem define esquerda direita esquerda vagabundo mascarado direita patriota bandeir,1
ai deus bom vida loka,0
imprensa sempre lado bandidos pra ainda alguma dúvida,0
aí suspeito né vagabundos comprovado bandido atirando contra pm carro roub,1
ainda propósito afins aqui ficam palavras alguém próprio sistema pacheco pereira,1
ainda bem q ontem fifa n atribuiu prémio fairplay chapecoense parar premiar equipas cujos jogadores atiram p chão,0
ainda bem sapatão preciso disso,0
ainda bem crivella ganhou imagina rio droga legalizada pm aborto liberado,0
ainda bem stf soltou goleiro bruno agora sabemos falta moral caso bolsonaro piada stf vergonha,0
ainda bem trump ganhou imagina mundo nenhuma guerra preconceito chato quer bomba coreia,0
ainda surpreendida cara sapatão dessa camilinha,1
ainda acredito estarei recife dia 2407 oquartosecreto serio saco boloderolofeelings,0
ainda falasse lingua homens anjos usaria ambas pra denegrir imagem,0
ainda tráfico pq gente compra compra voltasse crime tudo estaria harmonia,0
ain repente assim mano pq vcs acham q postei ler texto apelo meritocracia q diz título,0
ain dória indo bem nesse últimos 2 mesesse candidatar presidente psdb 2018 votaria nele,0
internet feministase cia infiltradas órgãos justiça buscam combater crescente meio censura via justiça,1
intoxicação mariquice mental ditadura relativismo anulam valores enfraquecem vontades,0
ai q gostoso cléo pires fumando publicando net pq privilégio branco classe eh tão lindo,0
ai saudade ditadura,1
ai socorro jesus deixa mulher programa favor pra gente ouvir botar conceitos físicos cozinha masterchefbr,0
ai preto bbb vo assistir kkk,1
aí thewalkingdead deixa sobre zumbis vira jogos mortais,0
ai vc chega colegio super cansada trabalho curso encontra grupinho sapatao falando ex coisa sapatao ex,1
sensacional,0
direita menina transtorno personalidade algo pior,0
mulher precisa obrigatoriamente feminista mulher porque maioria comp,0
coisa seres humanos,0
ju tá corada andou pegando praia,0
senti segura nesse dia,0
nao esqueça quer receber refugiados guerra vai islamizar brasil,1
novo filme curioso caso sempre atacou igreja católica cristianismo agora defende papa francisco,0
pra mulher hoje dia aguentar movimento feministatem macho kkkkk,1
nada aqui quebrada molecada arisca hahahahaha,0
caso brasileiraporque 5 kg cocaínaé peso bulldogue frances,0
justiça serviço todos mercê privilégios uns quantos,1
alô feminista portela voltou pai nada,1
alô feministas jesusestávoltando pai,1
alô feministas sistema solar resolveu aparecer pai nada,1
alô rapaziada hora desligar rede social agora sabadão churrascão cervejão tarde praticar coito abraço todos paz,0
alô rapaziada vamos respeitar donzelas porcos bêbados imundos paz carnavalsemassedio usecamisinha,1
lavajato chegou foro paulo descobriu odebrecht dava dinheiro farc lindo trabalho pol,0
perfil fala mau gente branca racista coerência cadê,0
racismo machismo esteriotipar mulher causa dolugar nasceu ne claro,1
racistamachista argumentos,0
vc devia calar boca pq vc tão racista quanto,1
tb entendo concordo vc,0
além tremenda baboseira quantidade erros português absurda qq meio comunicação sério vergon,1
questão hábito,0
falar abafar sabes jesus janta hoje palhinha,0
vamos ficar aqui antes fique excitado,0
alerta jornalista alexandregarcia adquira livros ideologia gênero educação famílias,0
deixa chefe olavo saber disso rrsss st,0
alexandraparkclub paraíso apenas 40min curitiba litoral faça evento empresas igrejas,0
alexandredemorais novo ministro stf somente 13 senadores rejeitaram nome 13 pessoalkkk kkkkkkkkk,0
amo,0
melhor forma ajudar refugiados levar cultura ocidental pra lá contrário espalhando problema,1
alexandre moraes deveria sequer ter sido ministro agora ocupará cadeira stf gsus,0
alexandres morais novo ministro stf somente 13 senadores votaram contra 13 pessoalkkkk,0
algarvios caravana caminho grego batáguas auditório verde 22h bilhetes sítios co,0
algo incomoda extremamente esquerda mulher vende discurso barato politicamente correto,0
alguem aí quer peixe pq pesquei vários aqui cheiros todasssss,0
alguem coloca faca muçulmano peito merkelpq acontece alemanha,1
alguém consegue ver thisisus chorar litros,0
alguém consegue ver guardachuva amarelo lembrar how i met your mother,0
alguém faz adaptação foto dilma 12 milhões desempregados,0
alguém favor pode passar tl dizer bom saber esquerda gosta debate demo,0
alguém sabe dizer mulher negra aposenta idade diferente mulher branca,1
alguém sabe habibs abriu falência boicote causa menino morreu tanto usar droga,0
alguém avisa molecada carnaval ê bebedera putaria preservativo estranhos onde fica respeito próximo,1
alguém topa cabeça empalada dê fav pra testar,0
algumas razões explicar fenômeno bolsonaro,0
alias coisa algumas mulheres sabem ficam achando gozar penetração algum problema,0
aliás universo publicidade repleto bundões,0
aliás pra ver futebol copa vai acompanhar nada próximos 4 anos novo deixe gosta ver paz,0
aliás qualquer reunião base violão local propicio massacre serra elétrica apoio,1
aliás porra felipe neto sei neto imagino fracassou,1
aliás vc quer xingar alguém direito fale mãe sujeito apenas chame bundão basta,0
aliás mulherdeverdade despe qualquer preconceito vive,0
lição hoje mulher burra brasil pulem ônibus movimento último degrau anchieta,1
achas fufas useless,0
linda colocar soneca desligou despertador inteligente,0
sério qq dia relato umas boas especialista pósgraduada auto flagelação formei desligamento exemplo,0
ex hj percebi vc promoter comunidade morango ainda tô tentando descobrir sócia tofalando,0
oi sugeri jv ninguém deu bola tá afim vc moral vem gente rsrsrs,0
lista talentos feminista clique aqui visualizar,1
xequemate filmaço,0
lógica coxinha amo cunha agora q afastado ladrao impediram impeachment volta cunha,0
luisa pesquisadora lançou projeto apoiar novo escritor ajude qualquer quantia veja,0
luta continua orgulhohetero,1
maconha faz rir mesma faz mãe chorar,0
1618 amado batista tira 38 cintura dá 3 tiros pro alto grita bolsonaro 2018 muitos aplausos algumas vaias,0
mãe maddie vai concorrer britains got talent espero lá vá fazer célebre truque magia criança desaparecida,0
mãe nóia disse quer justiça fácil prende,1
maior ambição mulher despertar amor mulherdeverdade,0
maior diferença criminosos outras pessoas criminosos estúpidos suficiente serem pegos,0
maioria pessoas vivas porque ilegal atirar nelas,0
malta la la land conseguiu festejar vitória durante menos tempo passos portas 2015,0
acho q vc fala bosta,1
vc acha racismo processa,0
medir palavras agora além silenciar angelica vc quer silenciar tambem,0
aceita fique mesma tecla racismo sofre silenciamento,0
ngm perguntou opiniao branca sobre racismo vc deu então acho q mesma,1
opinião tb dá cadeia cuidado aí fiota,0
branca concorda negra ofenda racismo q sente vc quer leve opinião consideração,0
gente meninas dando biscoito acho q vc n eh mulher burra mundo,1
amanhã angola feriado porque aqui,0
amanhã sextafeira diria cgtp excelente dia convocar greves função pública,0
manifestação frente fcsh causa cancelamento conferência nogueira pinto universidade,0
amante homem fudido burra duas vezes pepita mulher,1
maria vieira livre pensa cabeça ana bola produto lixo sistema emprego força,1
ameaça ridículo mal habituados podem dizer querem vêem ameaças onde existem,0
menina acorda 6 vai pro trabalho sai 18 vai pra faculdade chega casa 11 qdo vencer vida graças feminismo,0
américamg olha oq senhor fez coelho safado,1
americanos amplamente contra cidades santuário,0
mídia notícias falsas desconhece verdade deliberadamente grande perigo país falido virou pia,0
mídia notícias falsas insana teorias conspiratórias ódio cego inassistíveis,0
mídia notícias falsas falidos inimiga sim inimiga d,0
mídia notícias falsas inventa histórias fontes eficaz democratas desmoralizados is,0
mídia fazendo prefeito fez comigo forçam tá homofobia rotulam ridicularizam,1
mídia reportou dívida nacional primeiro mês abaixou 12 bilhões vs aumento 200 bilhões primeiro mês obama,0
amiga pode chamar quiser quero ver refutar falei fatos lógica verdades,0
amigo acredite vc pode cortar pau defesa feminismo assim discurso feministo vai garantir foda hoje,1
amigo israel proibição mundial críticas islão facebook,0
amigos acabei fazer terrários cunhada vanessa alves scarpimo acharam pena,0
mina tão gorda indireta mandei pra serviu,1
mina aguenta pronunciar alfabeto inteiro respirar quer pregar q gordofobia mata,1
avó morreu 10 anos consegue mexida emocionante final taça liga tacactt,0
casa aceita refugiados aka mónica,1
forma brincar dizer verdade brincadeira engraçada mundo mulherdeverdade,0
mãe quer expulsarme casa pq aqui existem fufas adoro família,1
mitológica desconhecida diferença imigrante ilegal turista,1
miudagem formatada aqui comenta ofende percebe decadente significa queda dest,0
cara mandou tirar colar relógio make mandaram tirar foto burca porque lá,0
amo chamar atenção pro corpo pra mostrar então mostro esbanjo ob,0
amo negros tao gnt boa pena q pararam vender,1
constituição 1932 porra bisavó nascida 32 quequeeutenhoavercomisso,1
tb futurarecemsolteiraaindaapaixonada foda rs,0
excelente parabéns venham mudanças,0
gosto acho bonita nao nada nao huahahaauahauhau,0
hahahaha brincadeirinhaboba rs tb acho,0
hello pois interagindo thudhu bom,0
normalll imagina situação pssoa tb ne fodas,0
own gata depende mim vamos ver futuro reserva és solteira,0
puts complicado respeita sensações sim ótimo ver então encara seicomoé,0
tb soninho eis trabalho amanhã hj feriado sampa tb trabalho rs affff rs,0
galera reuniu contra governo intransigente vargas oficialmente min 800 pssoas morreram cidades bombardeadas,0
amore ajuda divulgar primeiro livro escritora musico,0
amores pra gosta boa leitura pra gosta superindico,0
amor próprio liberdade mote campanha insecta shoes dia internacional mulher contou,0
estranho,0
mulher deve lentamente decifrada enigma encanto encanto mulherdeverdade,0
mulher deposta cargo maquiar balanço público quer candidatar brasil pra permitir ess,0
mulher engenheira nuclear consegue boa cozinha puta merdaaaaa masterchefbr,1
mulher física nuclear cara oq tá fazendo cozinha masterchefbr,1
mulher eh mega inteligente doutorado ate casa caraí cozinha bem porra masterchefbr,1
mulher nerd vai fazer experimentos esquisitos cozinha passar masterchefbr,1
mulher anjo diabo corpo mulherdeverdade,0
mulher perfeita linda trabalhadora dá paulada feminista feicebuk acho vou pedilá cas,1
mulher posdoctor fisica pesquisadora ainda arraza cozinha mulher dessas bicho masterchefbr,0
mulher gênio vei sentindo tão burra aqui ceis sabem,0
mulher vai ter vantagem cozinha conhecer coisas física masterchefbr,1
mulher burra brasil,1
mulher bbb soltou mexicano mexicano caixa dágua programa gente burra porra,1
mulher quiser nao usa decote vadia nao pode andar todas burca,1
mulher única via superar homem mulher cada dia mulherdeverdade,0
música cores classes todos simples projeto muda vida muitas pessoas,0
aff tutorial tédio vê edição vídeo vc entra facul maquiagem,0
zzzz completou gorda feia faltou boba pra 5a série,1
consigo lembrar campanhas meuamigosecreto meuprimeiroassédio sinto mt lixo humano ver gente falando,1
sapatao q né sonho bjar callie agora arizona posso realizálo,0
bolsonaro coloca milhares pessoas aeroporto,0
sorria querida musa direita,0
então achar gorda feia falta autoestima ataaaa,1
nasa achou 7 planetas ai consegue achar emprego,1
visto votação vou votar espera contagem votos angola,0
natureza perfeita olha filhotes nascendo quantos rts mamãe merece hein,0
andei lendo aqui rede social sr anda engolindo muita coisa ultimamente importa feliz abraço paz,0
ando passear baixa porto encontrei prédio transformado turismo habitação juro vou jogar euromilhões,0
andréia sadi reporter globonews agredida marmanjos militantes esquerda coletiva pósderrota hadda,1
irônicos concorda algum reveja conceitos 3,0
pimenta comentada estrevista,0
hj tdo mundo preoc c colega escrit sabia q ido fazer entrevista disfarçando fazendo preocupada,0
ixi nêga tá sampa aqui tá dia lindo sei tô fazendo casa acompanhada colica danada,0
lindo inclusive intrigante massa,0
nusssss magavilha heinnn massa promo,0
taí qria picolé carambola jambo recifefeelings dia hj mto trab noite solidão fera,0
sai sapatão incubada,1
angola ainda ratificou acordo ortográfico língua portuguesa escrevam bem yh,0
angola «angola possível produzir cartão eleitoral fiável porque conceder bilhete,0
angola drama comédia,1
algum motivo pensei deve cabo verde porque cabo verde sei propósito,0
angola vs mali psg vs barcelona mera consciência angola única equipa fraca,0
vida babar ovo bia bia feia gorda,1
miga dá fuçada lá primeiro livro amiga reviso,0
ta chiques rs mtos contatos hahaah ta boa,0
dá vontade fazer comentário desaforado pra menina acho vou fazer,1
tá msn,0
galinha gisada ahhh convidaaaaaaaaaaaa rsrs saudadedepernambuco,0
vixi tretas,1
virou fiscal piada agora manda multa la pra casa,0
13 anos pt levou brasil pior crise economica história país doentes esquerdistas vão dize,1
4 anos thenoite lembro casado qdo finado agora tarde ouvia band fm pq exmulher gostava danilo,0
4 anos chorão mudou banda trocou charli brau jr sepultura paz,0
nação casa correcto casas têm portas verdade então forçatrump,0
21 anos mamonas assassinas vivos estaria fazendo textão acusando cara machismo homofobia racismo etc,0
notícia velha preconceito sempre presente,0
ansioso comício flórida amanhã grande multidão vista,0
ansioso ver página facebook ar ajude denuncia,0
antes irem atrás notícia requentada desonesta intelectualmente assista vídeo,0
antes overdose tourette chegar vossa cidade decidimos apresentarnos pouco melhor eis manel cardoso,0
antigamente ninguém ofendia,0
senhor primeiro ministro corte gorduras estado mordomias dirigentes sim,0
então viva pnr certo sr primeiro ministro,0
pode gozar pessoas homofobia selvajaria islâmica tanto gosta importar,1
angola wi,0
contrário sistema pnr defende forças ordem segurança guardaprisional psp,0
ao90 crime traição identidade pnr sempre contra desobedecer tal estupidez,1
longo história defendido estado democrático direito lado esquerdista oab sp,1
mestre carinholuiz carlos alborghetti 120219459122009 jornalista radialista culhões rip,0
opinião deste tal juiz praticamente impede forças segurança país funcionem ridícula,1
organizadora marcha mulher eua favor implantação sharia país ligação hamas,0
mariquinhas passam dia twittando voltei,1
poucos vamos acabando tentativa destruir democraciaforacomunismo,0
outra lá fica cara feia aí abre toda droga sertanejo mulher burra viu bbb17,1
vivo declaração conjunta presidente trump primeiro ministro shinzo abe,0
apagão nordeste agora descobrir lá energia elétrica kkkkk,0
aparentemente 592 páginas livro cavaco silva contêm enxofre armazéns sapec setúbal,1
aparentemente ligações terroristas vêem islão contém ovo serpente terrorista,1
partir momento q vc ri d piada d loira português gaucho vc perde direito d ofender c qualqer outro tipo piada danilo gentili,0
apenas brincadeira dizem,0
apesar gostar fazer malas fazer mala angola altura ano vai bater pq vai entrar roupa verão,0
apesar serem australia acdc banda homens verdade,1
apesentolhes novo recurso usado internet hj dia i r n i,0
petição pede despenalização eutanásia aprovado unanimidade comissão parlamentar vergonha,1
pl 251615 propõe imigração massa refugiados islâmicos brasil queremos sharia brasil,1
pm racistajá vi policial negro ok,1
pm entrar metendo cacete nessas escolas ocupadas bando vagabundo nao quer estudar fica morando porra escola,1
politica brasileira mercado peixeo peixe fede pessoas acostumadas issoe acham normal,1
após 10 anos ivg interrupção voluntária gravidez números abortos diminuíram índice,0
após dois dias conversas produtivas primeiro ministro abe voltando japão,1
após forçado desculpar péssima imprecisa cobertura mim após vencer eleições notícias falsas,0
possível vitória geert wilders esperança europa mudança força,0
após ter sido declarado persona non grata algarve alentejo henrique raposo corre agora risco vida twitter restalhe tinder,1
aposto bom advogado podia criar bom argumento fato presidente obama grampear telefones outu,0
praga valendo,0
apresentovos missil aen17 totalmente dirigida angola dó piedade angola va,1
primeira parte patriots horrível alguém sabe dizer palhinha joga lá superbowl,0
procuradora deborah duprat diz criança pertence família dr miguel nagib advogado responsável,0
professora ef escreveu nome errado mulher burra,1
propósito vai campus party lugar baitolinhas amigos reais virgem,1
“apropriação culturas árabes moda pacto narcísico” by,0
própria culpada exposição filha maria rosário postava fotos drogas nudes próprio instagram,1
próxima jornada overdose touretteon the road jogase toda norte 2 mar viseu 3 mar porto 4 mar,0
publicidade ainda respira,0
campainha q ouve directos assembleia d república serve recordar passa dispendioso infantário,1
