text,hatespeech_comb
mulher eh mega inteligente doutorado ate casa caraí cozinha bem porra masterchefbr,1
mulher nerd vai fazer experimentos esquisitos cozinha passar masterchefbr,1
mulher perfeita linda trabalhadora dá paulada feminista feicebuk acho vou pedilá cas,1
mulher vai ter vantagem cozinha conhecer coisas física masterchefbr,1
mulher burra brasil,1
mulher bbb soltou mexicano mexicano caixa dágua programa gente burra porra,1
mulher quiser nao usa decote vadia nao pode andar todas burca,1
zzzz completou gorda feia faltou boba pra 5a série,1
consigo lembrar campanhas meuamigosecreto meuprimeiroassédio sinto mt lixo humano ver gente falando,1
então achar gorda feia falta autoestima ataaaa,1
nasa achou 7 planetas ai consegue achar emprego,1
andréia sadi reporter globonews agredida marmanjos militantes esquerda coletiva pósderrota hadda,1
sai sapatão incubada,1
angola drama comédia,1
vida babar ovo bia bia feia gorda,1
dá vontade fazer comentário desaforado pra menina acho vou fazer,1
vixi tretas,1
13 anos pt levou brasil pior crise economica história país doentes esquerdistas vão dize,1
pode gozar pessoas homofobia selvajaria islâmica tanto gosta importar,1
ao90 crime traição identidade pnr sempre contra desobedecer tal estupidez,1
longo história defendido estado democrático direito lado esquerdista oab sp,1
opinião deste tal juiz praticamente impede forças segurança país funcionem ridícula,1
mariquinhas passam dia twittando voltei,1
outra lá fica cara feia aí abre toda droga sertanejo mulher burra viu bbb17,1
aparentemente 592 páginas livro cavaco silva contêm enxofre armazéns sapec setúbal,1
aparentemente ligações terroristas vêem islão contém ovo serpente terrorista,1
apesar serem australia acdc banda homens verdade,1
petição pede despenalização eutanásia aprovado unanimidade comissão parlamentar vergonha,1
pl 251615 propõe imigração massa refugiados islâmicos brasil queremos sharia brasil,1
pm racistajá vi policial negro ok,1
pm entrar metendo cacete nessas escolas ocupadas bando vagabundo nao quer estudar fica morando porra escola,1
politica brasileira mercado peixeo peixe fede pessoas acostumadas issoe acham normal,1
após dois dias conversas produtivas primeiro ministro abe voltando japão,1
após ter sido declarado persona non grata algarve alentejo henrique raposo corre agora risco vida twitter restalhe tinder,1
apresentovos missil aen17 totalmente dirigida angola dó piedade angola va,1
professora ef escreveu nome errado mulher burra,1
propósito vai campus party lugar baitolinhas amigos reais virgem,1
própria culpada exposição filha maria rosário postava fotos drogas nudes próprio instagram,1
campainha q ouve directos assembleia d república serve recordar passa dispendioso infantário,1
130 operárias queimadas dentro fábrica 1857 bundão covarde carater,1
pessoas querem mudar mundo sabendo conjugar verbo,1
aqui barzinho barra elite opressora bjs boa noite,1
aqui brasil tantos refugiados guerra síria qualquer registro ataque,1
argumentos cristãos maiores perseguidores religiosos ninguém importa idéia luná,1
argumento burro refuta nada falei fatos lógica verdade vive esconde dentro,1
moço post facebook automaticamente publicado twitter deixa burro pqp,1
sapa dessa cidade,1
saudade acabou kkkkkkk ta gorda feia deixe quieto lixos,1
sbx deve ter sapatão organizadores kkkkk pq cover gay ue,1
feministas odeiam preocupem odeio,1
fufas celebram dia mulher,1
fufas d lx tão falsas q dói kkk,1
fufas benfas ganhavam sp kkk,1
fufas malucas,1
fufas usam sempre msm argumento cona,1
bom xingar falecida tô chamando ruim feia gorda tempo,1
situação europa resumida aceitar refugiados lidar risco terroristas infiltrados aceitar taxado xenofóbico,1
melhores mulheres querem trepar piores querem lemmy motörhead,1
pessoas entendem meio refugiados inúmeros terroristas coisa tão óbvia,1
sapatão tudo seguindo aly,1
assessoria comunicação proíbe palavra feminismo feliz dia mulheres,1
assine petição contra construção mesquita lisboa,1
teta loirinha tá demais altashoras,1
teta simoni redetv peitos hein,1
últimas 30 fotos galeria devem prints disto paras fufas juro ahahah,1
fufas dizem homens pq gostam mulheres merecem mesma feliz dia,1
ate aqui gente rio branco perseguido,1
atenção segundo jênio violência contra mulher brasil dá fato país maioria cristã,1
pouco tempo atrás canalhice retardado compara cristianismo idade média islamismo 201,1
atraído forte cheiro enxofre passos coelho deslocouse manhã setúbal encontrou diabo vingouse choco frito,1
aula inaugural técnica operatória aprendi q mulher eh burra entendi,1
vantagem namorar mendiga hora levar embora pra casa vc pode deixála qualquer lugar,1
aviso protecção cívil surto cotovelite moreira cónegos,1
azeiteiro quero q fodas volta terra,1
tão sapatão sabe oq pauuuuu,1
bandido bom bandido dilacerado dinossauros,1
bandido bom eh bandido morto viva cunhaa,1
banir refugiados apenas cruel prejudicial economicamente,1
batalha dia mulher lembrei burra meixmo deve ter sido top,1
batom vermelho bonito gente branca,1
quero ver cara recauque emili pegar lider joga roberta paredao vaca fausa gorda feia rsrrsrsrsr,1
bbb17 gorda feia escrota irritante falsa aff nojo real,1
graças q vao passar festa toda falando mal outros roberta gorda feia fazendo caretas kkkkk eliminadoa bbb,1
bom dia jumenta kkkkkk feliz dia mulher burra claro q exclusividade kkkkkkkk,1
pensei q youtuber sapatao,1
aceitei pq sapatão sinistra,1
bela lógica camarada liberalse colocares actores muçulmanos tv vãose juntar isismas hey islão odio,1
bem vindos volta prec nova arruaça esquerdalha marxismo cultural mandam todos encolhem vergonhoso,1
racismo pos anoes pretos fufas gays shemales simao,1
vc mó bobão eim,1
bergoglio indo contra realidade enquanto muçulmanos 10 filhos papa quer menos católicos papa comunista,1
pode feia pode gorda pode feia gorda,1
n falo fufas adeus,1
basta frequentar uns minutinhos grupo rexona pra ver surpresa gritarem sapatão,1
sapatão babando cima mina hetero desperta 01 único sentimento,1
boa tarde brasil sexta feira bebedeira cigarro prostitutas xis bêicon revolver cintura liberado após horário comercial paz,1
boitempo dá 70 desconto todos livros escritos mulheres via,1
pt psdb mesma bosta,1
vagabunda bbb,1
bolsonaro ganhou votação presidência câmara pq honesto,1
bolsonaro nazista turma psol democrática imprensa brasileira perdeu vergonha ir contra,1
noite greve sexo pros maridospor prostitutas brasilia ficam famosas,1
empresas fabricam citotec remedio abortivo devem dar dinheiro pra gente,1
puta playboy maconheiro ganhou filme exaltando feito dinheiro ainda,1
bom dia pra acordou presente jornalista vergonha canal canalha,1
bom dia sapatão,1
bom dia sapatão,1
bom dia sapatão,1
bom dia sapatão,1
bom dia sapatao,1
bom dia so pra acordou meio sapatão,1
bom dia pra vai votar crivella,1
bom dia pras sapatão,1
boom dia sonhou sapatão lindaporém sonho super bizarro q lembro metade,1
bora benfica acorda caralho,1
bora chuva deslike lixo assaltante cantou música camburão ficou famoso país lixo,1
branco rico problema justiça pode tirar photo sim negro problema justiça vergonha tirar self,1
então vem fodase,1
focate nrs n digas q inofensiva si islao levado lados radicais n falar isis,1
bue fufas tão seguir insta pq wtf,1
burra mulher aceita amante pois valoriza traidor ajuda destruir família nunca moral única,1
burra mulher prioridade aceita 2 ° opção,1
burra mulher ilude textinho,1
burra mulher iludida achando vai larga fiel puta,1
cadê caridade muçulmana emirados árabes recebem refugiados,1
cadê poderosa vai ficar guarda nenhum dois vai colocar cadeia kkkk,1
rezando lindoso problema tão explodindo torres boates embaixadas,1
mano tô rachando angola falando quer pega maria rita kakakaka acredita,1
calotêira pague conta claudialeittenocaldeirão,1
bicho trabalhamos refugiados migrantes nao ri,1
campeonato estadual igual olho azul gorda serve pra nada ainda fazem torcida única clássico khedira tabelando área,1
campusparty lugar deve feder espinha azeda passou validade menos mulher vale tudo juazeiro,1
vc q burra aqui defendi direitosreconheco q mulher n eh igual homem,1
canso ver monte cara burro pagando machão monte menina burra procura google significado mulher,1
aff bando maconheiros q fazer,1
deve ter feminista peluda bem gorda trabalhando foicebook,1
oab tão machista acha mulher pode machista,1
saudades homem homem mulher mulher,1
travesti parece mulher feministas pq feministas parecem macho mal acabados,1
vishi kkkkkk pior travesti parece homem muita cara homem saudades travesti raiz kkkkkk,1
cara sério dizer disso vamos expressar então queimar sede dessa revista,1
liga mano claro carimbo passaporte rs veio p brasil refugiada angola kkk,1
olha coisa 12 militantes psol cheirando mijo maconha vaiam cara vira notícia imp,1
carnaval familia cerveja piada churrasco rede tv marchinha folia empoderada droga aborto problematização choro banho textão feice,1
volta terra,1
então hoje debateram pnr finalmente acabou boicote censura partido,1
1 sermulheré onde quiser 2 feminista onde agenda esquerda mandar,1
capacho ideologia p apoiar cultura q apedreja açoita mulheres porque,1
cbf confederação bundões futebol,1
cerveja bunda hootersbrasil,1
vi página gayñ generalizandoquero dizer q gays morrem simples fato gay apenas,1
chamaram gattaz sapatão arena jeuanuaneuaheuhasesse glinhas viado minas hum vamos militar,1
chamem feministas p fazer manifestação pq n nenhuma mulher trabalhando obra aq lado absurdo direitosiguais,1
chamemme burra n sabia q dia mulher mo desejarem,1
chega arrumar treta esquerdopatas casada ter falar monte bosta,1
chega pra mina fala caso pai capeta pq pq vc visão inferno,1
chega pra mina fala caso pai dono bordel nãopq pq vc parece puta,1
chegou escravoceta,1
chegou sexta feira álcool prostitutas xis bêicon armas fogo marchinhas ofensivas válido após horário comercial bom dia usecamisinha,1
chilenos fugiram caxias capturados madrid assim tempo liberdade porto primeiro lugar,1
chorão fracassado precisava auto afirmação vive mundo irreal fama causa tv drogas matam,1
chupa nazistinha vai daí,1
gorda msm nãomas feia,1
claro esperar quê mente fraca acredita professor história q usa camisa cheghevara 42 an,1
claro medo trumpkkkk,1
claro sim vc babaca nerds valentão rede mulher imbecil hipster freak viciado celebridades,1
claro vc pode ir pro bm júnior sarra 9nha ein filhao maria tá achando vai aonde sair 7h quer estuprada rua,1
sabia agora pesquisando vi teto tão recebendo refugiados islamicos povo ta percebendo,1
fotos brancos refugiados dão likes fb fazem carneirada derramar muitas lágrimas crocodilo interesse neles,1
cobrar político tá fazendo mau uso dinheiro público dever qualquer cidadão,1
foda to ai gorda feia idiota,1
coisa enrustido homem homem aprecia gosto natural rata joaquinresponde,1
coisas ler dia mulher excluído pq paciência pra pessoa tão burra,1
coisas odeio esquerdista iphone hipocrisia falso moralismo,1
comece apoio cinema rejeitou belaeafera compartilhando deixando repúdio,1
comentei perfil irônico resposta chamada feia gorda mal amada feminazi fascita golpista bu,1
comentou ata sei feminista muxibenta ahh vão lavar louça mal amadas,1
comigo impensável islão aqui identidade portugal portugueses primeir,1
assim racista escuto eminem flor,1
diz ditado vira homem,1
bom achar dinheiro bolso otros,1
meninas consegue ir pra escola toda bonitinha vou igual sapatão ainda sono,1
cria cotas algo livre pra qq fazer bateu dúvida aqui,1
feminista feia gorda pagar peitinho passeata peluda odiar homens achar q fará diferença mundo,1
gorda faz feia cu,1
vai dar certo pico desse,1
quantos centímetros destrói feminista,1
comunista hipocrisia sinônimos,1
comunista odeia pm fala mal capitalismo segurando iphone celular roubado vai parar dp pm vai entender,1
confirmado 100 falei sapatao,1
conselho mulher sábia constrói mulher burra destrói,1
constroem obstáculos dentro casas vez expulsarem serpente islâmica vergonha,1
contra fatos argumentos,1
cota racismo todos iguais,1
99 afegãos apoiam sharia linda realmente receba casa vai estudar,1
covardes busca censura maiores páginas humor direita br somostodoseditorahumanas,1
crepúsculo vira lobo vira vampiro ninguém vira homem,1
crianças acreditem sempre vossos sonhos suicide squad ganhou óscar tudo possível oscars,1
cristas pediu reunião p fazer queixinhas marcelo convidou logo ferro p almoçar vingança vichyssoise servese fria,1
sapatão linda mt maneira,1
chamam cristãos ignorantes ta universidade acha normalé porque sofreu lavagem cerebral,1
cuidado burra falando mal feminismo atual gente mulher ignorante assim uó cada coisa né non,1
1625 cunhado ana hickman conta desarmou psicopata acabou raça apludido pé muita gente chorando emoção,1
simples boneco vai interferir educação criança esquecer q existem crianças q criadas gays,1
dá p comparar caro educação académica processo exato seguido educação moral sexual social,1
dá pra comparar coisa outra,1
sei nunca vi desenho questão porém idades podem ver beijo gay nã,1
twitter sobre fufas porto realmente demasiado tempo livre tal varrer chão lavar loiça,1
olha afinal islão pai tens argumento mesma tens substituir hitler isis,1
d1a islamofobia medo islão,1
acompanha time meninas,1
educação recebi casa homem feito pra mulher vice versoo resto modinha,1
noticia crianças sendo estupradas muçulmanos autoridades fazem nada serem,1
mesma forma q enfio pau algumas pessoas mulheres outras homens chamase escolha pessoal vt,1
boicota xinga pm bahia sai show escoltada polícia hipócrita caralho,1
parabéns obs sentimento bosta independente idade,1
daqui meses abranda histeria torno trump alvo media força,1
série imagina contrário ah olavo qualquer direitista segurando desenho desse níve,1
islão leis países contam muçulmanos respeitamnas conveniencia moralidade,1
jihad base islão,1
dá rola pras feminaziquem sabe param falar bosta,1
acordo 99 afegãos favor sharia absurda lei islâmica malvadão,1
20 aumento breja d foradilma,1
defendendo brancas louras condenando negro racismo,1
dei unfollow pessoas pra dar palmas burca,1
deixa verificar opinião movimentos negro feminismo antes chamar namorada ironicamente algo,1
deixe leviana desde falei q lutar direitos iguais respeito errado errado capacho d,1
deixei teste matemática branco kkkk melhor ver cara deboche professora,1
25 julho dia internacional mulher negra latino americana caribenha então hoje dia mulher branca diadamulher,1
democracia crl parada voltar logo ditadura pra economia ir pra frente,1
vender produtos ilegais dia todo centro rio camelôzada reúne pra queimar meio rua,1
mexia catroga chineses preparamse contratar mitroglou querem tirarnos tudo luz ilumina,1
politicamente incorreto correto felipe neto enquadrou moda atual p correto ganhar grana,1
desculpa entendo meme filho puta,1
desde pinto costa deixou fotografar mamas brasileiras fotografar pés mexicanos porto nunca ganhou nada,1
destruição suécia manda muçulmano pra lá coisa fugir controle suecos paumolengas vão reag,1
deu acidente aqui esquina casa pra ouvir pedreiros gritando chamando mulher burra kkkkkkk,1
deus criou adao eva nao adao ivo,1
deus ta vendo vcs acordando cedo pra torcer pra casal sapatão burras vipdirecto,1
deveriam decaptar qdo chama militância sapatão grelo duro deveria beatificado,1
deve foda namorar evangélica vc manda sms todo fofo dizendo advinha ama responde jesus cristo,1
diadamulher 8 março feliz dia mulheres odeiam feminismo,1
dia mulher feita escrava lavar casa parece burra,1
dia mulher eh dia irritar c hipocrisia gente burra q entende real sentido desse dia,1
diadamulher dia putas aborteiras,1
dica fantasia barata curtir carnaval 1 marque ir bloco 2 apareça 3 diga fantasiado “pai feminista”,1
diferença manifestante terrorista esquerdista vagabundo baderneiro conservador patriota gente,1
difícil pra mina burra insegura nunca conquistou nada conviver mulher bonita inteligente independente ne dá pena,1
diganaoaideologiadegenero feministas gênero diferente desigual desigual injusto ignorando,1
branco merda,1
vc mulher pode onde quiser política deveria presa prestando serviço braçal tanto burra,1
dilma lula cunha freixo luciana genro jandira feghali tudo agora falta bolsaputeiro pra país,1
pena feminazis todo mundo covardes façam nenhum mega mijaço cagaço similar países islão,1
contra islãdefende mulher qualquer outra feminista,1
direitos humanos famoso esterco vagabundagem,1
direitos humanos serve p defender bandido,1
dizem q manaus pessoa perde onibus ñ fica esperando proximo vai pendurando arvore escalando cipó,1
dizem ingresso pra balada manaus galinha,1
dizem muro trump eficaz olhem chineses construíram 2000 anos ainda têm lá mexicanos,1
dizer cu reproduz pra social media homofóbico gayzada ta cu ardendo pisc,1
dizer facil quero ver feminismo defender contra pauta esquerda,1
diz q negra pra reclamar racismo pfff,1
saloios tacanhos ignaros parolos ofensa racista contra povo norte lisboa pode pode faltar respeito,1
domingão cervejão churrascão faustão oração masturbação depressão joaquinresponde,1
domingo 1932 esconde revolver paga prostituta tira filme pornô colocar rede vida chá boldo declaro encerrado final semana,1
90 pais sabem crianças adolescentes assistem youtuber gay teen doutrinando filhos luba etc,1
dps d ontem pensei assim q so qro sapatao p chamar d camiaozino amor,1
dudu barbosa feia bonita — bixa gorda,1
eae vagabundo mamador teta dilma,1
extremaesquerda continua exterminar escravizar povos suma santidade,1
mina foto cara idiota ahahahahahaha,1
seguir quer provar islão compatível valores enfim,1
turma problematização vê preconceito tudo pra pautar movimentos doentes mentais esquerda,1
caminhão atropela outras abobrinhas mídia solta mídia suja comprada credibilidade nenhuma,1
diz ditado liberdade canta pra pt espanta,1
continuou 8 anos dando pro cara chama otária,1
reclamam solidão mulher negra sendo chata assim quero ver namora traste,1
deixou sair filho feminismo nao ajuda so ajuda pra praticar abortodepois q ja,1
movimentos cada dia retardados mentais aguento editora,1
doida aí feminista,1
velho querem censurar melhor conteúdo humor político direita vai foder oabsp,1
sapatão,1
odeio gente chique idontuseshoes,1
q respondi primo aniversario feliz dia mulher clarinha brigadaa tudo dobro kk cuidado c burra,1
egípcio tenta entrar louvre naifa terrorista canadiano olhos azuis dispara sobre 40 pessoas mesquita lobo solitário,1
mundo angola luanda,1
gorda feia oferecida gata — brigada amorrr amei receber,1
ei amigo vai tomar cú,1
eis aqui pessoa feia facebook pqp,1
opa puta desculpa burra pra passar mão cabeça mulher errada,1
machuca discutindo sobre roupaeu dou nenhum desgosto gente mora inferno quintura quer use burca,1
lamentável standvirtual queira passar ideia sensor movimento suficiente evitar mulher bata carro,1
ataca imigração ilegal idiotas motivo aspas mérito ótima ideia vcs contratam funcio,1
precisa solução precisa aceito homofobia,1
fizeram marcha direito expressarmos dia orgulhohetero,1
praticam islao,1
revelamse faltamlhes argumentos faltaslhe nível agressividade ofensa registo,1
eliza samudio pode sair vc ganhou pique esconde,1
esquerda faz pauta feminismo,1
amstedã prefeito muçulmano contrário londres fez críticas refugiados adaptam,1
angola brincase fazer musicaproblema musicos povo so consome lixo,1
metendo vara nela distância chega negativa tão perto pense nisso,1
emirados árabes querem ir marte construir dubai lá 2117 uol usam grana ajudar refugiados irmãos,1
meio escândalos corrupção nepotismo presidente angola anunciou tentará reeleição 2017,1
vc ia primeiro,1
mta falta louça umas roupas pra passar chão banheiro pra esfregar pano,1
encontro feminista droga bebê cair sai cara q conheceu 2 min usuário droga quer reclamar assedio,1
precisa macho pra postarpensar dessa forma muita mulher assim ache burra,1
nesse dia mulher confirmei acreditava toda generalização burra,1
enfia 7 dedo cu argentinos fdps,1
então tento fazer parte pra homem branco babaca olha pro umbigo,1
então socialismo produz refugiados socialismo falha,1
então quer dizer pm mata juiz reage mídia porca,1
entenderam porque presidenta deveria cassadavivíamos conto vigário mentirosa compulsiva,1
ent fufas pretos adormeceu,1
bacana bbc apóia galera entrar indiscriminadamente eua top né,1
detalhe odeio professora aula hoje puta mulher chata burra,1
supera vez quesito capa canalha ano,1
olha pra cara gorda feia isabelle contar voz irritante,1
pior merda tomou posse ainda imagine tomar abandonou rio vergonha,1
países acolhendo refugiados gastar dinheiro ajudando gente lá país infelizmente gen,1
pra melhorar ano blog feminazi fascista caindo viva,1
preciso travar islamização europa,1
gosta comparar preços mercado sapatão,1
obvio estadio palmeiras tambem ia cair,1
escolasempartido vê esquerdopata,1
escutando músicas sapatão,1
contrário racista,1
sério sei pior vida vey pobre pobre gorda feia,1
es gorda feia — obrigada,1
mandar sonda pra 3 planetas achar psol funk maconhero iutuber vida inteligente sim,1
roubar estuprar cometer latrocínio vai pra lá simples matem dó,1
espero dia refugiados comecem aqui sharia,1
esquerdista liga pra moral liga pra dinheiro calaram qdo soltaram bruno incomodaram voltar jogar ganhar bem,1
esquerdopatas blackblocs atacaram manifestantes prótrump merda esquerda igual todo lugar muda,1
mosca achando problema aqui brasil geração lacre,1
gente quer combater racismo diz q pessoa branca pode fazer x coisatipo vestir iemanjá,1
geração atual jovens foder acabou mete ditador socialista país pra metade fuzilado fim papo,1
geração lixo faço parte proibo netos verem youtubers joaquinresponde,1
hora qdo mulher quer sair balada pra ir pra casa pra levar vara,1
hora puta viado online,1
hora puta viado online exceto,1
imagem montagem coisa comunista,1
mulher enrolada cozinha masterchefbr,1
mulher mt burra,1
pistoleira agora inventando íntima 3 ministros stf amiga íntima janot além,1
procuradora piadalevou lambada dr miguel nagib autor projeto escolasempartidoem,1
escolas marxistas doutrinadoras esquerda sabem alienar futuros cidadãos bem,1
escolas lgbt escolas públicas passamos limites ainda vitimam acusam,1
fãs fitfi harmony camila cabello tudo retardada pai ausente ficam esfregando pereréquinha pra aparecer tá moda paz,1
fufas ligam nenhuma mal namoradas querem marcar date porque têm saudades lol,1
mulher burra raiva,1
sociedade machista opressora,1
veja tenta conseguem kkk quer dizer lésbicas sentem orgasmos serem lésbicas kkkkk,1
cara lixo humano daqueles imbecis acham sabem tudo,1
famoso chupa cu,1
feminismo quer igualdade homens mulheres,1
filha puta donald trump diminui quantidade refugiados podem entrar país pq nao familia ta sofrendo la,1
nome quase esquerdopata hahahahah,1
padre igreja aqui perto época pai falou ia catequese pra voltar pra casa pajero,1
dia chamando disso aqui puta pariu trabalhei 40 anos ramo marcenaria pra chamado dis,1
tal golpe aí racismo tá olhos vê,1
ah távenezuela paraíso cuba somália coreia norte idem ha crise refugiados europa,1
idiotas inúteis mamadores dinheiro público iludem milhões imbecis,1
certíssimo ninguém quer pseudoterrorista país inclusive contra refugiados sei pode ter terrorista,1
duvido feminismo contra macho homem pede aí feminismo capacho esquerda,1
internautas feminazis capacho esquerda,1
feminismo defende todas pautas esquerda esquerda perder faz protesto nunca protest,1
estuprador menor estará garantida defesa maria rosario igual champinha menina esquerda,1
