text,hatespeech_comb
a esquerda está morrendo de um câncer terminal,1
a esquerda fala muito sobre essas rebeliões e justificam a superlotação mas não fala do motivo que fizeram eles irem pras prisões,0
a esquerda faz um monte de merda e a gente é obrigado a ver a mídia chamando a direita de extrema,0
a esquerda filha da puta como sempre,1
a esquerda gosta de viver na sujeira gosta do feio e idolatra a burrice pichação não é arte é coisa de vagabundo _,0
a esquerda inventa o problema incute na cabeça das pessoas que o problema existe repete a mentira até que acredit _,0
a esquerdalha e sempre foi é e será uma escumalha selvagem carregada de ódio e violência _,0
a esquerdalha protegida pelo sistema e pelos media no seu melhor a mostrar a tolerância que defende _,1
a esquerda reclama das coisas inventadas pela própria esquerda racismo homofobia machismo nazismo cultura de estupro e luta de classes,0
a ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional felicito o _,0
a europa muito doente e submissa a estes espectáculos de mariquice nojenta claro que se torna presa fácil do islã _,1
a fdp não come carne e quer q vc tb não coma chupar meu pau ela não quer,1
a feira é dia de overdose de tourette e hoje a caravana pára na ericeira auditório jaime lobo e silva h is _,0
a feminazi tem a cara de pau de pedir dinheiro em seu blog mesmo ganhando uma boquinha de mil v _,1
a feminista pode até dar a alma dela no primeiro encontro mas por favor seja uma puta consciente,1
a e seu programa de sexo acham um absurdo as famílias não falarem abertamente de sexo em casa até pq ela certamente,0
a festa do branco é um evento que promete marcar o cruzeiro diamantes aqui estão algumas inspirações _,0
afffffff só por deus eu te que fica olhando a funça da atual dá minha ex,1
afff n te dou mais nada,0
aff pq vc pinta o cabelo td mundo sabe q vermelho e loiro só fica bom em tom de pele clara,1
aff só por que não tem negro no oscar agora eles sao racista pfvr miga melhore,0
afinal a constituição da república feita por estes senhores serve para quê é para ser violada,1
afinal a privatização do ensino médio superior brasileiro e o fim dos projetos sociais que ajudam milhões é o que vai levantar o país,1
afinal o time do presídio precisa de goleiro,0
a força do sonho,0
a forma como você se vê não altera o que você é de fato,0
ixi amiga marron marromenos termino de namoro foda ne,0
nem eu amiga nem eu e como ela diz,0
ooo amorrr ja chegou,0
quero saber tudooo como foi o diaaaa,0
sei lá inventei agora hahaha,0
seminário sobre ideologia de gênero com certificado e abril ro,0
agenda actualizada para os próximos meses,0
e de março sp informações igreja batista do povo _,0
palestra sobre identidade de gênero ideologia de gênero,0
março e simpósio sobre ideologia de gênero,0
agenda março ideologia de gênero,1
agenda para os próximos tempos bilhetes na fnac e ticketline,0
agenda congresso evangelizar kids igreja batista do povo,0
agendas dias e de março em sp simpósio de ideologia de genero e cultos familiar,0
agende seminário ou palestras para liderança jovens e igreja geral sobre ideologia de gênero com livros,0
a gente mulher e um ser humano mais burra acreditar que ainda possa ter amor verdadeiro,0
a gente nao sabe se a mulher ta feliz de burca nao sabe se é tranquilo p travesti ta com aquela roupa etc etc etc,0
o cara que escolhe foto é muito fanfarrão,0
a fazer greve não trabalhar é um alívio para o brasil já que ela só faz atrapalhar o país mesmo devo _,1
a globo mentiu para o futebol feminino e a mulherada como sempre iludida acredita tudo normal,1
a só mostra as belezas e o amor do carnaval mas se quer saber a verdade liga na que está mostrando tda violência,0
a gloria alvarez arrebenta o discurso dela na cpac foi sensacional,0
o fato de o cidadão de bem passar a portar uma arma não o transformará em bandido crime é questão de índole,0
agora deu tilt no a ameba que teve a cara de pau de comparar trump com hugo chavez,1
agora é oficial os dinossauros estão extintos,0
agora é só umas gordas feias pra caralho,1
agora não entendo mais nada branco não pode namorar com negra ue mais vão termina o colégio e pega uma vaga no mac valeu,1
agora os novos refugiados já não são por causa da guerra são até chamados refugiados económicos como sempre foram não fugiram de nada,0
agora pareço aqueles gajos que se viram para as fufas e dizem que ela são fufas pq nunca experimentaram pila lol,1
agora que a dilma vai sair quem assume é o aécio né,0
agora refugiados com uma ideologia e cultura completamente incompatíveis com as nossas aí não tem como mesmo,1
agora sim esse latinos imundos vão parar de tentar entrar nos eua,1
agora sim está correto abraço,0
agora sim eu assumo,0
agora sim pode usar perfume,0
agora sim lisboa estamos prontos para começar,0
agora tá na moda colocar a culpa nos países do om não se engane e aos outros quem produziu refugiados foram eua e otan,0
agora tudo é apropriação cultural não pode nem usar turbante mais,0
agora tudo faz sentido,0
agora vc pensa uma cidadã que não cuida da sua própria filha querer impor em sala de aula o que deve ser ensinado ao meu filho um absurdo,1
agradece se esse empurrão vindo do outro lado do atlântico para dar o golpe de misericórdia na famigerada,0
a grande imprensa e a população esquerdista mostram o quão democráticos são ao sequer deixar trump começar a trabalhar,0
a grande questão aqui é por que há tantos furos ilegais vindo de washington haverão estes furos quando eu negociar _,0
a greve dos estivadores,0
aguarela com muitos anos,0
água ser essencial é coisa de maricas cerveja é essencial,1
ahahaha as musas de direita destroem qualquer petista como a gleisi hoffman,0
a hipocrisia esquerdista em sua mais alta essência aqui somos nós que temos ódio vai daí porra,1
ah lá o filho do porteiro passou no enem,0
ah mas artista tal eh gorda ela eh feia tem tanto dinheiro e n melhora te fode garota não eh pq ela eh famosa q ela tem q ser perfeita,1
ah o perigo do islão e tal e a civilização europeia e não sei quê,0
ah porque o nacionalismo deste gajo é económico e é tão económico quanto o do pcp com a diferença de o pcp não querer angola de volta,0
ah valente e para a mortalidade infantil em angola não vai nada oh isabel,0
ah você não tem dó dos presidiários deles não tenho mesmo não tenho das vítimas que fazem,0
a identidade não se vende,0
a ideologia de gênero chegou no seu mais alto grau de insanidade qual é sua identidade de gênero alienígena ok,0
ai fiz piada sexista e machista mas não sou nada disso vc que é burra e não tem senso de humor feliz dia da mulher,1
ai luigi mas vc ta militando q saco pois é pq eu entendo os privilégios que eu tenho por ter nascido homem branco,1
a imagem que define o que são esquerda e direita esquerda vagabundo mascarado direita patriota com a bandeir _,1
ai meu deus como é bom ser vida loka,0
a imprensa sempre do lado dos bandidos pra quem ainda tinha alguma dúvida,0
aí não é suspeito né seus vagabundos é comprovado mas se for bandido atirando contra pm em carro roub _,1
ainda a propósito do e afins aqui ficam palavras alguém do próprio sistema pacheco pereira _,1
ainda bem q ontem a fifa n atribuiu o prémio fair play à chapecoense temos de parar de premiar equipas cujos jogadores se atiram p o chão,0
ainda bem que eu sou sapatão e não preciso disso,0
ainda bem que o crivella ganhou imagina só o rio com droga legalizada sem pm e aborto liberado,0
ainda bem que o stf soltou o goleiro bruno agora sabemos a falta de moral que tem caso do bolsonaro é mais uma piada do stf,0
ainda bem que o trump ganhou imagina só o mundo sem nenhuma guerra e preconceito nossa muito chato nós quer é bomba na coreia,0
ainda estou surpreendida com a cara de sapatão dessa camilinha,1
ainda não acredito que não estarei em dia no com a serio saco,0
ainda que eu falasse a lingua dos homens e dos anjos usaria ambas pra denegrir sua imagem,0
ainda tem tráfico pq tem gente que compra se a compra voltasse a ser crime tudo estaria em harmonia,0
ain mas de repente nem foi assim mano pq vcs acham q eu postei isso sem ler o texto é um apelo à meritocracia q nem diz o título,0
ain o dória está indo bem nesse últimos meses se ele candidatar para presidente pelo psdb em votaria nele _,0
a internet é nossa as feministas e cia infiltradas nos órgãos da justiça buscam combater essa crescente por meio da censura via justiça,1
a intoxicação e mariquice mental da ditadura do relativismo anulam os valores e enfraquecem as vontades depois são _,0
ai q gostoso a cléo pires fumando um e publicando na net pq o privilégio branco e de classe eh tão lindo _,0
ai que saudade da ditadura,1
ai socorro jesus deixa essa mulher no programa por favor só pra gente ouvir ela botar conceitos físicos na cozinha,0
ai tem muito preto no bbb nem vo assistir kkk,1
aí deixa de ser sobre zumbis e vira jogos mortais,0
ai vc chega no colegio super cansada do trabalho e curso e encontra o grupinho das sapatao falando de ex se uma coisa que sapatao tem é ex,1
a é sensacional,0
e era de direita essa menina tem transtorno de personalidade ou algo pior,0
isso a mulher não precisa ser obrigatoriamente feminista para ser mulher porque a maioria não comp _,0
isso é coisa de seres humanos,0
ju você tá mais corada andou pegando uma praia,0
me senti segura nesse dia,0
nao esqueça que ele quer receber refugiados de guerra vai islamizar o brasil,1
novo filme o curioso caso de quem sempre atacou a igreja católica e o cristianismo mas agora defende o papa francisco,0
pra ser mulher hoje em dia e aguentar o movimento feminista tem que ser muito macho kkkkk,1
que nada aqui na quebrada a molecada é arisca hahahahaha,0
que não é caso da brasileira porque com kg de cocaína é o peso de um bulldogue frances,0
a justiça tem que estar ao serviço de todos e não à mercê de privilégios de uns quantos,1
alô feminista até a portela voltou e o seu pai nada,1
alô feministas até e o seu pai não,1
alô feministas até um sistema solar resolveu aparecer e o seu pai nada,1
alô rapaziada hora de desligar da rede social agora é sabadão churrascão cervejão e mais tarde praticar aquele coito abraço a todos,0
alô rapaziada vamos respeitar as donzelas seus porcos bêbados imundos,1
a lava jato chegou ao foro de são paulo e descobriu que odebrecht dava dinheiro às farc que lindo trabalho da pol _,0
seu perfil fala mau de gente branca e eu sou racista coerência cadê,0
não é racismo nem machismo esteriotipar uma mulher por causa dolugar que ela nasceu ne claro que não,1
racista machista sem argumentos é o que mais tem,0
vc devia calar a boca pq vc é tão racista quanto,1
tb não entendo concordo com vc,0
além da tremenda baboseira a quantidade de erros de português é absurda qq meio de comunicação sério teria vergon _,1
é uma questão de hábito,0
por falar em abafar sabes se o jesus janta hoje com o palhinha,0
vamos ficar por aqui antes que fique excitado,0
do jornalista adquira os livros a ideologia de gênero na educação e famílias em,0
deixa o chefe olavo saber disso rrsss st,0
este paraíso apenas min de curitiba no litoral faça seu evento empresas igrejas,0
é novo ministro do somente senadores rejeitaram seu nome pessoal kkk kkkkkkkkk,0
eu te amo,0
melhor forma de ajudar os refugiados é levar a cultura ocidental pra lá não o contrário só estão espalhando o problema,1
alexandre moraes não deveria sequer ter sido ministro agora ocupará uma cadeira no stf gsus,0
alexandres de morais é novo ministro do somente senadores votaram contra ele pessoal kkkk,0
algarvios a caravana está a caminho e o grego do batáguas também auditório verde h bilhetes nos sítios do co _,0
algo que incomoda extremamente a esquerda uma mulher que não se vende ao discurso barato politicamente correto do _,0
alguem aí quer peixe pq eu já pesquei vários aqui cheiros a todasssss,0
alguem coloca uma faca de um muçulmano no peito da merkel pq é isso que acontece pela alemanha,1
alguém consegue ver sem chorar litros,0
alguém consegue ver um guarda chuva amarelo e não lembrar de how i met your mother,0
alguém faz a adaptação com a foto da dilma e os milhões de desempregados,0
alguém por favor pode passar isso na tl do e dizer que é bom saber como a esquerda gosta do debate demo _,0
alguém sabe me dizer se mulher negra se aposenta com idade diferente da mulher branca,1
alguém sabe se o habibs já abriu falência com o boicote por causa do menino que morreu de tanto usar droga,0
alguém tem que avisa essa molecada que carnaval não ê só bebedera e putaria sem preservativo com estranhos onde fica o respeito ao próximo,1
alguém topa uma com a cabeça do empalada dê fav pra testar,0
algumas razões para explicar o fenômeno bolsonaro,0
alias isso é uma coisa que algumas mulheres também não sabem e ficam achando que por não gozar com penetração tem algum problema não tem,0
aliás o universo da publicidade é repleto de bundões,0
aliás pra que ver futebol na copa se você não vai acompanhar nada nos próximos anos de novo deixe quem gosta ver em paz,0
aliás qualquer reunião a base de violão é um local propicio para um massacre de serra elétrica e eu apoio,1
aliás quem é essa porra de felipe neto não sei mas só de ser neto já imagino que fracassou,1
aliás se vc quer xingar alguém direito não fale da mãe do sujeito apenas o chame de bundão basta,0
aliás uma se despe de qualquer preconceito e vive,0
a lição de hoje da mulher mais burra do brasil é não pulem de um ônibus em movimento mesmo se você estiver no último degrau ou na anchieta,1
achas fufas são useless,0
a linda foi colocar no soneca e desligou o despertador muito inteligente,0
é sério qq dia te relato umas boas sou especialista pós graduada em auto flagelação e me formei em desligamento exemplo,0
ex só hj percebi que vc que é promoter do comunidade morango ainda tô tentando descobrir quem é tua sócia,0
oi sugeri um jv e ninguém me deu bola tá afim vc te mais moral que eu vem mais gente rsrsrs,0
a lista de talentos de uma feminista clique aqui para visualizar,1
xeque mate é filmaço,0
a lógica coxinha é eu amo o cunha mas agora q ele foi afastado é ladrao mas impediram o impeachment volta cunha,0
a luisa é pesquisadora e lançou esse projeto para apoiar um novo escritor ajude com qualquer quantia veja mais,0
a luta continua,1
a maconha que te faz rir é a mesma que faz sua mãe chorar,0
amado batista tira o da cintura dá tiros pro alto e grita bolsonaro muitos aplausos algumas vaias,0
a mãe da maddie vai concorrer ao britain s got talent espero que lá vá fazer o seu célebre truque de magia da criança desaparecida,0
a mãe do nóia disse que quer justiça fácil prende ela,1
a maior ambição da mulher é despertar o amor,0
a maior diferença entre os criminosos e as outras pessoas é que os criminosos são estúpidos o suficiente para serem pegos,0
a maioria das pessoas só estão vivas porque é ilegal atirar nelas,0
a malta do la la land conseguiu festejar a vitória durante menos tempo do que o passos e o portas em,0
eu acho q vc só fala bosta,1
se vc acha que é racismo me processa,0
medir minhas palavras agora além de silenciar a angelica vc quer me silenciar tambem,0
não aceita que ela fique na mesma tecla de racismo que só ela sofre isso é silenciamento,0
ngm perguntou sua opiniao de branca sobre racismo e vc deu então acho q estamos na mesma,1
opinião tb dá cadeia cuidado aí fiota,0
uma branca não concorda que uma negra se ofenda com o racismo q só ela sente e vc quer que eu leve sua opinião em consideração,0
gente e as meninas dando biscoito acho q vc n eh a mulher mais burra do mundo mais,1
amanhã em angola é feriado porque é que aqui também não é,0
amanhã é sexta feira ou como diria a cgtp um excelente dia para convocar greves na função pública,0
a manifestação em frente à em causa está o cancelamento da conferência de nogueira pinto na universidade,0
amante de homem fudido é ser burra duas vezes pepita mulher,1
a maria vieira é livre pensa pela sua cabeça ana bola é produto do lixo do sistema e por isso tem emprego força _,1
ameaça ridículo estão é mal habituados podem dizer o que querem de nós mas vêem ameaças onde elas não existem _,0
a menina acorda às vai pro trabalho sai às vai pra faculdade chega em casa às qdo ela vencer na vida foi graças ao feminismo,0
américa mg olha oq o senhor fez coelho safado,1
americanos são amplamente contra cidades santuário,0
a mídia de notícias falsas desconhece a verdade deliberadamente grande perigo ao país o falido virou pia _,0
a mídia de notícias falsas está insana com suas teorias conspiratórias e ódio cego são inassistíveis _,0
a mídia de notícias falsas os falidos não é minha inimiga mas sim inimiga d _,0
a mídia de notícias falsas que inventa histórias e fontes é mais eficaz que os democratas desmoralizados mas is _,0
a mídia está fazendo com esse prefeito o que fez comigo eles forçam uma tá homofobia rotulam ridicularizam,1
a mídia não reportou que a dívida nacional no meu primeiro mês abaixou bilhões vs um aumento de bilhões no primeiro mês de obama,0
amiga pode me chamar do que quiser quero ver refutar o que falei com fatos lógica e verdades,0
amigo acredite vc pode cortar seu pau fora em defesa do feminismo que nem assim seu discurso de feministo vai te garantir uma foda hoje,1
amigo de israel proibição mundial de críticas ao islão no facebook,0
amigos acabei de fazer estes terrários para minha cunhada vanessa alves scarpim o que acharam que pena que,0
a mina é tão gorda quem nem a indireta que mandei pra ela serviu,1
a mina não aguenta pronunciar o alfabeto inteiro sem respirar e quer pregar q gordofobia mata,1
a minha avó morreu há mais de anos e consegue ser mais mexida e emocionante que esta final da taça da liga,0
a minha casa não aceita refugiados aka mónica,1
a minha forma de brincar é dizer a verdade é a brincadeira mais engraçada do mundo,0
a minha mãe quer expulsar me de casa pq aqui não existem fufas adoro a minha família,1
a mitológica e desconhecida diferença entre imigrante ilegal e turista,1
a miudagem formatada que aqui comenta e ofende não percebe que decadente significa estar em queda quando se dest _,0
o cara me mandou tirar colar relógio make só não mandaram tirar a foto de burca porque não tinha lá,0
amo mesmo chamar atenção pro meu corpo tenho ele pra mostrar não é então mostro mesmo e esbanjo mesmo não sou ob _,0
amo os negros são tao gnt boa é uma pena q pararam de vender,1
constituição de porra nem minha bisavó era nascida em,1
eu tb mas sou uma futurarecemsolteiraaindaapaixonada rs,0
excelente parabéns e que venham as mudanças,0
gosto não acho ela bonita nao nem nada nao huahahaauahauhau,0
hahahaha rs tb acho,0
hello pois é mas estava interagindo thudhu bom,0
normalll imagina a situação da pssoa tb ne fodas,0
own gata depende só de mim não nem dela mas vamos ver o que o futuro nos reserva e tu és solteira,0
puts complicado mas ele respeita tuas sensações se sim ótimo tem que ver então como ele encara isso seicomoé,0
tb soninho e eis que trabalho amanhã hj é feriado em sampa e tb trabalho rs affff rs,0
uma galera que se reuniu contra o governo intransigente de vargas oficialmente min pssoas morreram cidades bombardeadas,0
amore ajuda a divulgar o primeiro livro da a escritora e o musico,0
amores pra quem gosta de boa leitura e até pra quem não gosta da,0
amor próprio e liberdade foram o mote da campanha da insecta shoes para o dia internacional da mulher que contou,0
nossa que estranho,0
a mulher deve ser lentamente decifrada como o enigma que é encanto a encanto,0
a mulher é deposta do cargo por maquiar balanço público e quer se candidatar só o brasil mesmo pra permitir ess _,0
a mulher é engenheira nuclear e consegue ser boa na cozinha puta merdaaaaa,1
a mulher é física nuclear cara oq ela tá fazendo na cozinha,1
a mulher eh mega inteligente tem doutorado ate na casa do caraí e cozinha bem porra,1
a mulher é muito nerd vai fazer experimentos esquisitos na cozinha se passar,1
a mulher é o anjo e o diabo num só corpo,0
a mulher é perfeita linda trabalhadora dá paulada nas feminista e não tem feicebuk acho que vou pedi lá em cas _,1
a mulher é posdoctor nas fisica pesquisadora e ainda arraza na cozinha uma mulher dessas bicho,0
a mulher é um gênio vei me sentindo tão burra aqui que ceis nem sabem,0
a mulher já vai ter uma vantagem na cozinha só por conhecer as coisas da física,1
a mulher mais burra do brasil,1
a mulher no bbb soltou um mexicano que é mexicano nem caixa d água tem que programa de gente burra da porra,1
a mulher tem que ser o que ela quiser mas nao usa decote sua vadia nao pode temos que andar todas de burca,1
a mulher tem uma única via para superar o homem ser mais mulher a cada dia,0
a música não tem cores nem classes é para todos um simples projeto que muda a vida de muitas pessoas,0
aff que tutorial não é tédio vê um de edição de vídeo que vc entra numa facul de maquiagem,0
zzzz completou com gorda feia só faltou o boba pra ser a série,1
eu só consigo lembrar das campanhas e me sinto mt lixo humano por ver gente falando de,1
sapatao tinha q ser né meu sonho bjar a callie agora sou arizona já posso realizá lo,0
o bolsonaro coloca milhares de pessoas em aeroporto,0
sorria nossa querida musa da direita,0
então achar gorda feia é falta de autoestima ataaaa,1
a nasa achou mais planetas e você ai que não consegue achar um só emprego,1
