text,hatespeech_comb
A caminho Base Militar Andrews Primeiro Ministro Shinzo hoje cedo httpstco0YAUn4dMKJ,0
A campanha continuaEducacaoSemIdeologiaDeGenero httpstcoO6DVICQISp Acesse adquira dois livros de httpstco0BvDHJMUm7,0
A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU BBB17,1
cara gorda feia Roberta bbb17,1
Acções PNR Oeiras Cascais httpstcodIjJz60vAORenovarPortugal Portugal httpstcoMuhqghYZTR,0
Aceitei trocar Benfica jantar romântico namorada desde pagasse gasolina Amanhã lá estarei Catedral,0
ACEITE OS CHIFRES JoaquinResponde httpstco2wOKNG11RS,0
A censura democrática pior todas porque arbitrária hipócrita cobarde Finge existir existe httpstcofdEjtgOx1P,0
Acham BANDIDO machista to entendendo logica feminista agora Toda atitude bandido cometido httpstcoQwuTyA0KWB,0
achei pagina httpstcoyoVjMs2Zz0,0
Achei cabelo branco sinto anos tintura chegando,0
acho engraçado vcs falam mal Ustra idolatram Che,0
Acho irónico mulher ajudou NASA andar frente cadeira rodas Oscars,1
Acho mal metido carreira Bárbara Guimarães neste In memoriam Oscars,0
Acho mó engraçado galero tenta chamar atenção fznd piadinha burra sobre dia mulher,0
Acho legal feministas compartilham coisa quebrando tabu chamam outras gorda feia briga macho parabéns p vc,1
Acho q menina restaurante frente sapatão kkkkkk fica olhando,0
Acho agora perdeu vezKkkkkkkkk dó httpstcogt6t4iRyYv,0
Acho Morango céu so pra rsrs angelicamorango biaibelieve Nossa tô Sampa Aqui n B Vista tá nubladim meio frio,0
acho Simone depende natal pra sobreviver Papai Noel,1
Acho veja aceitou realmente faz jornalismo httpstcox6gmv70CuS,0
acho sono resolveu desaparecer junto dinheiro espero dia têlos volta,0
acho vou gozar ESeFosseConsigo,0
acho cara redação Enem deveria perder pontos pq ficou claro sabor miojo,0
Acho tatuagem colorida fica bonito gente branca,0
Acho vou ai preguiça dormir xerus,0
Acho vou pegar carona agdabritto mimir,0
ACHO RIDÍCULO MAS RESPEITO NÃO SOU HOMOFÓBICO httpstcogC4L1yJ1ls,1
Acho argumentos ridículos mudarão opinião consegui refutar linha Resumo Eu httpstcoc3bWKt8lEx,0
A cidade Viseu preparada receber 5a feira Despachemse garantir vossa presença Vai httpstcodPMZ8ppmrP,0
A cidade sicradical desde hojeos parceiros media oficiais Isso significa conteúdos exclusivos httpstcoDlkMFBCSk3,0
Acima tudo vitória esmagadora classe httpstcos9lvC87ILS,0
0841 açõespreventivas local Castelo Branco Centro AbelardoLuz descrição atividade tecnica vistorias,0
A coisa q odio vida mulher machista Qnd escuto alguma falando merda fico mt abuso pq odeio gnt burra ignorante tb,1
A Comissão Europeia afirmou hesitará aplicar sanções contra países recusam receber httpstco8h6HFv3dIj,0
Acompanhe agendas sobre Ideologia Gênero todo País httpstco9ge0LwyJZg,0
Acorda pra trabalhar ae cambada vagabundo,1
Acordar ler notícia dessasIsso mãe monstro Que inversão valores Deus httpstcoPqDNEmYu1J,0
AcordouAcordou quer defender amigos BANDIDOS CORRUPTOS partido Como podemos aceitar ficar P v httpstco4uh8VS30YN,1
A corrida liderança CND obviamente armação A escolha Bernie próprio nunca chance httpstcoK1Je1TMVPv,0
cota negro aumentou nesse BBB né,1
A CP recrutar revisores requisitos saber falar espanhol Talvez importante contratar pessoas saibam crioulo,1
Acredite quiser Existe agora agefluid faz parte ideologia gênero provavelmente faz parte ati httpstcoB2YNzJmzTk,0
A crfjaque prova importa Jair preconceituoso É apenas 1a q enquadra moda atual difamalo httpstcoW67nzOsYsn,1
A CRIMEIA ocupada Rússia durante governo Obama Será Obama bonzinho Rússia httpstcozQowSdLe9r,1
ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA JOAQUINRESPONDE httpstcoJdCLqC5zmY,1
culpa brasil jeito tá única exclusivamente dilma,0
A culpa estrelas vermelhas httpstco5R8Thlv1b8,0
A culpa ter tirado antes,0
Acusações estupro assédio agressão podem arruinar vida homem Ata httpstco4jdeA8hRcO,0
AdemirAlvim conhecimento dessa doutrinação escolas Uma triste realidade Brasil mundo,1
AdemirAlvim vdd conheci dei block pessoa assim quero longe,0
Ades patrocina nova versão Branca Neve httptcovWxZjXNw4y,0
Adeus Obama Faça boa viagem httpstcoB0CASUcZtH,0
Adicionei vídeo lista reprodução YouTube httpstcotUcZqbRpPN Angola China vs EUA A verdade,0
Adicionei vídeo playlist YouTube httpstco7hLCvlxwOz Islão mim,1
A diferença vergonha cara vs vagabundo httpstcomi282DMTSe,0
A diferença Tribunais Comissões Parlamentares nestas últimas pobres nunca ninguém condenar,0
adiosiago amandassini acho msm sobre vc branquelo,1
adiosiago amandassini branco acha racismo coitadismo dá vontade continuar perfil,1
adiosiago amandassini vc quer q chame q palmito,0
Adivinha esquerda demoniza esquerda apoia httpstcolmknzzuwLo,0
adorando cerimônia nao to entendendo monte país subdesenvolvido estádio,0
Adoro energia daqui Não gosto lembrar vou trabalhar feriado Mas gosto ter emprego Então tá ótimo rs,0
Adoro frase Viva loucos normais acabando mundo fikdik rs,0
Adoro católicos lembram bíblia Deus serem homofóbicos Islão religião violência,1
ADQUIRA AGORA livro A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO Como doutrinação sendo introduzida nas httpstcoemXSsysshG,0
Adquira cupom pra dar pro clube macho Antes 4hs chibata agora 8 BlackFriday,0
Advogado Deputado Não pode ser httpstcoUxhKlE2Ks0PNR RenovarPortugal Portugal,0
Advogados ABANDONAM tal moça acusou Feliciano abusoAgora tal moçaataca outros deputado procurador httpstcoO9WcUD3wU4,0
A antes voltar importante abrir cerveja matinal Fodase,0
AecioMaisCItadoQue Bolsonaro discussão sobre idiotas homofobia D,0
aeeeee dilma caiu ja posso viajar pra miami agora,0
A Emma Stone podia ir vestida saco lixo rodeado sacos lixo dentro camião lixo nunca estaria mal Oscars,0
A entrevista longa Super Bowl oreillyfactor hoje noite 800 PM 000 BR Divirtase httpstco2wVSIjP7oI,0
A homens começam usar cor rosa httpstco3Cfl9aoHmO,1
Aeroporto Mário Soares faria sentido Ota Macau,0
A esquerda assim lamenta morte bandidos diz matou pouco pra genocidas Depois Stalin matou po httpstcog2rItoeyTF,1
A esquerda palavra Sujeira Defendem ideologia sanguinária culpam sistema usam São httpstcod44ggIe2zI,1
A Esquerda próprio Zumbi Palmares Quer libertar negros escravidão pra escravizalos outra httpstcoc1XOaNIPmI,1
A esquerda morrendo Câncer terminal httpstcoqcH8FkSNKh,1
A esquerda fala sobre rebeliões justificam superlotação fala motivo fizeram irem pras prisões,0
A esquerda faz monte merda gente obrigado ver mídia chamando direita extrema,0
A esquerda filha puta sempre httpstcoCbHw2V9dOB,1
A esquerda gosta viver sujeira gosta feio idolatra burrice Pichação arte coisa vagabundo httpstcopRkOnzBSTQ,0
A esquerda inventa problema incute cabeça pessoas problema existe repete mentira acredit httpstcov9m5h7Gc6z,0
A esquerdalha comunista anarquista sempre foi é escumalha selvagem carregada ódio violência httpstcoAwYQKfgj35,0
A esquerdalha protegida sistema media melhor mostrar tolerância defende Nantes httpstcotMqoRAsR5x,1
A esquerda reclama coisas inventadas própria esquerda Racismo homofobia machismo nazismo cultura estupro luta classes,0
A ética imprensa regional contrasta cartel comunicação social alcance nacional Felicito httpstcoY7oD6CcInV,0
A Europa doente submissa espectáculos mariquice nojenta claro torna presa fácil Islã httpstcoBIAymMELN1,1
A fdp come carne quer q vc tb coma Chupar pau quer,1
6a feira dia Overdose Tourette E hoje caravana pára ERICEIRA Auditório Jaime Lobo Silva 22h Is httpstcoCrTfw7LA9h,0
A feminazi lolaescreva cara pau pedir dinheiro blog ganhando boquinha 11 mil v httpstcoXH24MvyqxB,1
feminista pode dar alma primeiro encontro favor usecamisinha puta consciente,1
A FernandaLimaBah programa sexo acham absurdo famílias falarem abertamente sexo casa Até pq certamente,0
A Festa Branco evento promete marcar Cruzeiro Diamantes 2017 Aqui algumas inspirações httpstcosZyln0lwQt,0
Afffffff Deus fica olhando funça atual dá ex,1
Afff N dou nada httptcohyBYnjtrab,0
aff pq vc pinta cabelotd mundo sabe q vermelho loiro fica bom tom pele clara,1
Aff negro oscar agora sao racista pfvr miga melhore,0
Afinal Constituição República feita senhores serve quê É violada httpstcoJuaODQaZmS,1
afinal privatização ensino médiosuperior brasileiro fim projetos sociais ajudam milhões vai levantar país,1
AFINAL O TIME DO PRESÍDIO PRECISA DE GOLEIRO httpstcowPxhSyvGDK,0
A força sonho jpintocoelho60 httpstco4jGTaKM9gQ,0
A forma vê altera fato httpstcoF1vbtmfKGs,0
agdabritto Ixi amiga marron marromenos termino namoro foda ne,0
agdabritto Nem eu amiga eu diz eavidasegue,0
agdabritto ooowwww amorrr ja chegou,0
agdabritto Quero saber tudooo diaaaa,0
agdabritto Sei lá inventei agora catita hahaha,0
Agenda Abril Seminário sobre Ideologia GêneroCom certificado 08 09 Abril AriquemesRO httpstco9FWPfwGNRv,0
Agenda actualizada próximos meses httpstcovvezwg8Gx2,0
Agenda 1112 e13 MarçoSP CongressoEvangelizarKids Informações Igreja Batista Povo httpstcovpReD2R1W1,0
AgendaMaio Palestra sobre identidade gêneroIdeologia Gênero SãoLuizMaranhão httpstco6dWIFPYWkN,0
Agenda Março 18 19 Simpósio sobre Ideologia Gênero,0
Agenda Março Ideologia Gênero httpstcovhpKZjqQJD,1
Agenda próximos tempos Bilhetes FNAC Ticketline httpstcoIBtRKfrgJD,0
Agenda SãoPaulo 1103 Congresso Evangelizar KIDS Igreja Batista Povo httpstco4nSFGR5Fal,0
Agendas dias 18 19 Março CampinasSP Simpósio Ideologia De Genero Cultos familiar,0
Agende seminário palestras liderança jovens igreja geral sobre Ideologia Gênero Com 5 livros httpstcoXmSL8gDa8l,0
gente mulher humano burra acreditar ainda possa ter amor verdadeiro,0
gente nao sabe mulher ta feliz burca nao sabe tranquilo p travesti ta roupa etc etc etc,0
AgenteRusso cara escolhe foto fanfarrão,0
A gleisi fazer grevenão trabalharÉ alívio BRASIL faz atrapalhar país mesmo Devo httpstcoEzKOlbn8YF,1
A globo mentiu futebol feminino E mulherada sempre iludida acredita Tudo normal,1
A globo mostra belezas amor carnavalMas quer saber verdade liga recordtvoficial mostrando tda Violência,0
A Gloria Alvarez arrebenta O discurso CPAC 2016 sensacional httpstcoFVD2M4GBye,0
agnaldoregojr 2 O fato cidadão bem passar portar arma transformará bandido Crime questão índole,0
Agora deu tilt Ricamconsult AMEBA cara pau comparar Trump Hugo Chavez httpstcoG24QMKa7Be,1
agora oficial dinossauros extintos,0
Agora umas gordas feias pra caralho,1
Agora entendo nada branco pode namorar negra Ue Mais vão termina colégio pega vaga Mac Valeu,1
Agora novos refugiados causa guerra chamados refugiados económicos sempre foram fugiram nada,0
Agora pareço gajos viram fufas dizem fufas pq nunca experimentaram pila Lol,1
agora dilma vai sair assume aécio né,0
Agora refugiados ideologia Cultura completamente INCOMPATÍVEIS nossas aí mesmo,1
agora sim latinos imundos vão parar tentar entrar EUA Trump,1
Agora sim correto pecesiqueira abraço paz httpstcoDUoMBeWwqu,0
AGORA SIM EU ASSUMO httptcoUzOwKrxdOy,0
Agora sim homemdeverdade pode usar perfume httpwwwyoutubecomwatchvwx6DP99bYE,0
Agora sim LISBOA prontos começar httpstcoJJdLm8R2oO,0
Agora tá moda colocar culpa países OM Não engane outrosQuem produziu REFUGIADOS EUA OTAN AbrahoCavalcant,0
agora tudo apropriação cultural pode usar turbante,0
agora tudo faz sentido httpstcogAkF8IbNea,0
Agora vc pensa Uma cidadã cuida própria filha querer impor sala aula deve ensinado filho Um absurdo,1
Agradecese empurrão vindo outro lado Atlântico dar golpe misericórdia famigerada uniaoeuropeia BREXIT PEXIT,0
A grande imprensa população esquerdista mostram quão democráticos sequer deixar Trump COMEÇAR trabalhar,0
A grande questão aqui tantos furos ilegais vindo Washington Haverão furos negociar httpstcoVWfbJSbcoR,0
A greve Estivadores httpstcoEcYwmGj8AqRenovarPortugal PNR,0
Aguarela muitos anos Salazar httpstcon00XTL4AiC,0
água essencial coisa maricas Cerveja essencial,1
ahahaha as musas direita destroem qualquer petista gleisi hoffman httpstco1eHxXa6cNB,0
A hipocrisia esquerdista alta essência aqui Somos ódio fernandaemelo VAI DAÍ PORRA httpstcoRchflhftvg,1
ah lá filho porteiro passou enem,0
ah artista tal eh gorda eh feia tanto dinheiro n melhora TE FODE GAROTA NÃO EH PQ ELA EH FAMOSA Q ELA TEM Q SER PERFEITA,1
Ah perigo Islão tal civilização europeia sei quê httpstcoGBJPgWqhYO,0
Ah porque nacionalismo deste gajo económico tão económico quanto PCP Com diferença PCP querer Angola volta,0
Ah valente E mortalidade infantil Angola vai nada oh isabel httpstcoq7yFNtpRVC,0
Ah dó presidiários Deles não vítimas fazem,0
A identidade vende httpstco0FBKzmmuCV,0
A ideologia gênero chegou alto grau insanidade Qual identidade gênero ALIENÍGENAOK httpstcoFGLJ5hbm68,0
Ai fiz 1 piada sexista machista nada disso vc burra senso humor FELIZ DIA DA MULHER,1
“ai luigi vc ta militando q saco” pois pq entendo privilégios ter nascido homem branco,1
A imagem define esquerda direita Esquerda vagabundo mascarado Direita patriota bandeir httpstcoyDs4P8MdA4,1
Ai deus bom vida loka,0
A imprensa sempre lado bandidos Pra ainda alguma dúvida httpstcok541HxiCN3,0
Aí suspeito né VAGABUNDOS É comprovado Mas bandido ATIRANDO contra PM carro ROUB httpstcoaj3PkB9oBH,1
Ainda propósito sosracismo afins aqui ficam palavras alguém próprio sistema Pacheco Pereira httpstcojQQD7yyJOu,1
Ainda bem q ontem FIFA n atribuiu prémio fairplay Chapecoense Temos parar premiar equipas cujos jogadores atiram p chão,0
ainda bem sapatão preciso disso,0
ainda bem crivella ganhou imagina rio droga legalizada PM aborto liberado,0
Ainda bem STF soltou goleiro BRUNO agora sabemos FALTA moral tem caso Bolsonaro piada STF vergonha,0
ainda bem trump ganhou imagina mundo nenhuma guerra preconceito chato NÓS QUER É BOMBA NA COREIA,0
ainda surpreendida cara sapatão dessa camilinha httpstcoyGYxHrvIl8,1
Ainda acredito estarei Recife dia 2407 oquartosecreto angelicamorango Serio Saco boloderolofeelings,0
ainda falasse lingua homens anjos usaria ambas pra denegrir imagem,0
ainda tráfico pq gente compra compra voltasse crime tudo estaria harmonia,0
ain repente assim Mano pq vcs acham q postei ler texto É apelo meritocracia q diz título,0
Ain Dória indo bem nesse últimos 2 mesesse candidatar presidente PSDB 2018 votaria nele httpstco0Y3fFPk7Bm,0
A internet nossa As Feministase cia infiltradas órgãos Justiça buscam combater crescente meio censura via justiça,1
A intoxicação mariquice mental ditadura relativismo anulam valores enfraquecem vontades Depois httpstcoqva99FyYk9,0
Ai q gostoso Cléo Pires fumando publicando NET pq privilégio branco classe eh tão lindo httpstcofXQslfyu57,0
ai saudade ditadura,1
ai socorro jesus deixa mulher programa favor pra gente ouvir botar conceitos físicos cozinha MasterChefBR,0
ai preto bbb vo assistir kkk,1
Aí TheWalkingDead deixa sobre zumbis vira jogos mortais,0
Ai vc chega colegio super cansada trabalho curso encontra grupinho sapatao falando ex Se coisa sapatao ex,1
A jublackpower sensacional,0
ajulysantos direita menina transtorno personalidade algo pior,0
ajulysantos isso A mulher precisa obrigatoriamente feminista mulher porque maioria comp httpstco8NjZxoMtV5,0
ajulysantos coisa seres humanos,0
ajulysantos Ju tá corada Andou pegando praia,0
ajulysantos senti segura nesse dia httpstcoUzcdIOTIYc,0
ajulysantos nao esqueça quer receber refugiados guerra vai islamizar brasil,1
ajulysantos Novo filme O Curioso Caso Quem Sempre Atacou A Igreja Católica Cristianismo Mas Agora Defende Papa Francisco,0
ajulysantos Pra mulher hoje dia aguentar movimento feministatem macho kkkkk,1
ajulysantos nada aqui quebrada molecada arisca hahahahaha,0
ajulysantos caso brasileiraporque 5 kg cocaínaé peso bulldogue frances,0
A Justiça serviço todos mercê privilégios uns quantos govpt antoniocostapm httpstcos4IjrxP8vM,1
ALÔ FEMINISTA ATÉ A PORTELA VOLTOU E O SEU PAI NADA,1
ALÔ FEMINISTAS ATÉ JesusEstáVoltando E O SEU PAI NÃO,1
ALÔ FEMINISTAS ATÉ UM SISTEMA SOLAR RESOLVEU APARECER E O SEU PAI NADA httpstcoysRnqpzvOX,1
ALÔ RAPAZIADA HORA DE DESLIGAR DA REDE SOCIAL AGORA É SABADÃO CHURRASCÃO CERVEJÃO E MAIS TARDE PRATICAR AQUELE COITO ABRAÇO A TODOS PAZ,0
ALÔ RAPAZIADA VAMOS RESPEITAR AS DONZELAS SEUS PORCOS BÊBADOS IMUNDOS PAZ CarnavalSemAssedio usecamisinha httpstcoRl59UAYqqA,1
A LavaJato chegou Foro São Paulo descobriu Odebrecht dava dinheiro FARC Que lindo trabalho Pol httpstcokFuK9cCOT5,0
AleMagnnusb gentebranca1 Seu perfil fala mau gente branca racista Coerência cadê httptco3LqJR2tN85,0
AleMagnnusb racismo machismo esteriotipar mulher causa dolugar nasceu ne claro,1
AleMagnnusb racistamachista argumentos,0
AleMagnnusb vc devia calar boca pq vc tão racista quanto,1
AlemaoTheo Tb entendo Concordo vc,0
Além tremenda baboseira quantidade erros português absurda Qq meio comunicação sério vergon httpstcoGL3iqhkscG,1
AlentejanoD86 questão hábito,0
AlentejanoD86 falar abafar sabes Jesus janta hoje Palhinha,0
AlentejanoD86 vamos ficar aqui antes fique excitado,0
ALERTA Jornalista AlexandreGarcia Adquira Livros A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO FAMÍLIAS EM httpstcoQS1I1jxfTI,0
alexborges mvsmotta BlogDoPim andreazzaeditor Deixa chefe Olavo saber disso rrsss ST,0
AlexandraParkClub Este paraíso apenas 40min Curitiba Litoral Faça Evento Empresas Igrejas httpstcoC4e3YzUpSf,0
AlexandredeMorais novo ministro STF Somente 13 senadores rejeitaram nome 13 PESSOALKKK KKKKKKKKK,0
alexandregarcia amo,0
alexandrekirwan Melhor forma ajudar refugiados levar cultura ocidental pra lá contrário Só espalhando problema,1
Alexandre Moraes deveria sequer ter sido Ministro agora ocupará cadeira STF Gsus,0
Alexandres Morais novo ministro STF Somente 13 senadores votaram contra ele 13 pessoalkkkk httpstcoaA4A555zlP,0
Algarvios caravana caminho E grego Batáguas também Auditório Verde 22h Bilhetes sítios co httpstco5tpnwHHJBR,0
Algo incomoda extremamente esquerda MULHER vende discurso barato politicamente correto httpstcoLEzAkFyHI5,0
Alguem aí quer peixe Pq pesquei vários aqui Cheiros todasssss,0
Alguem coloca FACA DE UM MUÇULMANO NO PEITO DA MERKELPQ É ISSO QUE ACONTECE PELA ALEMANHA httpstcosj22qkMA3N,1
Alguém consegue ver ThisIsUs chorar litros,0
Alguém consegue ver guardachuva amarelo lembrar how I met your mother httpstcoFI3uSXOCaq,0
alguém faz adaptação foto Dilma 12 milhões desempregados,0
Alguém favor pode passar TL ohmycavill dizer bom saber Esquerda gosta debate demo httpstcoMGtAITkuvl,0
Alguém sabe dizer mulher negra aposenta idade diferente mulher branca httpstcomjOvsxHurd,1
Alguém sabe Habibs abriu falência boicote causa menino morreu tanto usar droga,0
ALGUÉM TEM QUE AVISA ESSA MOLECADA QUE CARNAVAL NÃO Ê SÓ BEBEDERA E PUTARIA SEM PRESERVATIVO COM ESTRANHOS ONDE FICA O RESPEITO AO PRÓXIMO,1
Alguém topa cabeça powtergaist empalada Dê fav pra testar httpstcoYPC7OOzqJc,0
Algumas razões explicar Fenômeno Bolsonaro BolsonaroSP FlavioBolsonaro CarlosBolsonaro httpstcooNGuWlZyMQ,0
Alias coisa algumas mulheres sabem ficam achando gozar penetração algum problema NÃO TEM,0
Aliás universo publicidade repleto bundões,0
Aliás pra ver futebol COPA vai acompanhar nada próximos 4 anos novo Deixe gosta ver paz,0
Aliás qualquer reunião base violão local propicio massacre serra elétrica E apoio,1
Aliás porra Felipe Neto Não sei Neto imagino fracassou,1
Aliás vc quer xingar alguém direito fale mãe sujeito apenas chame bundão Basta,0
Aliás MulherDeVerdade despe qualquer preconceito E vive,0
lição hoje mulher burra brasil é pulem ônibus movimento último degrau anchieta,1
alienrella AlexyReis00 kindlynow achas fufas useless,0
A linda colocar soneca desligou despertador inteligente,0
AlineBorel É sério Qq dia relato umas boas Sou especialista pósgraduada auto flagelação formei desligamento exemplo,0
AlineBorel Ex Só hj percebi vc Promoter Comunidade Morango Ainda tô tentando descobrir sócia tofalando,0
AlineBorel OI Sugeri JV ninguém deu bola tá afim vc moral eu vem gente rsrsrs,0
A lista talentos feminista clique aqui visualizar httpstcotI8fzQk7KX,1
AllyssomH xequemate filmaço,0
lógica coxinha é amo cunha agora q afastado ladrao impediram impeachment volta cunha,0
A Luisa pesquisadora lançou projeto apoiar novo escritor Ajude qualquer quantia Veja mais httpstco22oWkyfG9w,0
A luta continua orgulhohetero,1
maconha faz rir mesma faz mãe chorar,0
1618 AMADO BATISTA TIRA O 38 DA CINTURA DÁ 3 TIROS PRO ALTO E GRITA BOLSONARO 2018 MUITOS APLAUSOS ALGUMAS VAIAS,0
A mãe Maddie vai concorrer Britains Got Talent Espero lá vá fazer célebre truque magia criança desaparecida,0
A mãe nóia disse quer justiça Fácil prende,1
A maior ambição mulher despertar amor MulherDeVerdade,0
maior diferença criminosos outras pessoas criminosos estúpidos suficiente serem pegos,0
maioria pessoas vivas porque ilegal atirar nelas,0
A malta La La Land conseguiu festejar vitória durante menos tempo Passos Portas 2015,0
amandassini adiosiago acho q vc fala bosta,1
amandassini adiosiago vc acha racismo processa,0
amandassini medir palavras agora além silenciar angelica vc quer silenciar tambem,0
amandassini aceita fique mesma tecla racismo sofre silenciamento,0
amandassini ngm perguntou opiniao branca sobre racismo vc deu então acho q mesma,1
amandassini opinião tb dá cadeia cuidado aí fiota,0
amandassini branca concorda negra ofenda racismo q sente vc quer leve opinião consideração,0
amandtra gente meninas dando biscoito acho q vc n eh mulher burra mundo,1
Amanhã Angola feriado porque aqui é,0
Amanhã sextafeira ou diria CGTP excelente dia convocar greves função pública,0
A manifestação frente FCSH Em causa cancelamento conferência Nogueira Pinto universidade httpstcoff3vSFVnEU,0
amante homem fudido burra duas vezes pepita mulher,1
