texto,label_odio
Da mesma turma da boca rosa! E outras patricinhas mimadas,1
"USER USER Quem disse que você xingou de asno os gays de asno? Critiquei justamente sua suposição de que existe um asno no departamento de marketing do Boticário. ""USER e USER"", apesar de incoerente, respeito a opinião deles, mas isso não quer dizer os Gays não possam se sentir representados em uma campanha publicitaria de outra marca.",1
"Meu USER, esse cara é um doente. É um ator e está se vingado do esposo falando detalhes da relação que teve essa pobre mulher. Não conseguiu me convencer com esse teatro. Se ele fosse um homem de caráter, não ficaria com esse discurso . USER, USER e USER....",1
Homem é um bicho estranho ao mesmo tmp ridículo 🤣,1
"USER USER nao estou debatendo com USER, estou dizendo que USER esta sendo homofobico e errado, nao sou uma criança, qualquer pessoa que discorde de USER e uma criança? Eu acho que a unica criança aqui e USER ou a sua mentalidade e sim eu estudo muito para ajudar meus pais, mas eu realmente nao ligo para oq USER acha, eu n te conheço e não to afim de conhecer",1
"O Abel é provavelmente o personagem mais interessante dos últimos anos do futebol brasileiro. Pelo que faz com o Palmeiras, pelo carisma, pelas entrevistas, já fez história por aqui. Pago pau demais. Dito isso, que vá embora e pare de vencer 👌 URL",0
"Esse neguinho é um fofo, tô bobinha. Alguém me da um tapa",1
Não precisava isso essa mulher é louca,1
USER Tá amarrado viado,1
"conheço surtos psicóticos,meu marido as vzs tem...e não pensa em sexo",0
essa menina é uma arrombada e tem gnt q da palco ainda,1
USER engra莽ado depois da casa arrombada se coloca um cadeado.??,0
"A verdade da historia: O mendigo mentiu, pois sabia sim que ela era casada. Beijou ela na frente da mãe do cara. Ela mentiu: disse que estava em surto, pois não quer perder os bens. O corno foi o unico que falou a verdade. E tem um monte de mulher trouxa caindo na labia dele.",1
"Falo tudo! Exelente, por mais que tenha demorado 10 hrs pra fazer que nem a(o) inutil falo ali em baixo (sabe deus se é mulher ou homem hoje em dia..) com certeza vlw super apena pra abrir os olhos desse bando de putinhas virgens q estão loucas pra dar a bunda esperando o fdp do principe vir com uma calça vermelha e um oculos sem lente pra escutar MUITA USER USERnora! -.- whatever, USER queria agradecer. Faça muitos muitos videos e tenha sucesUSER pra falar abertamente suas ideias, o mundo precisa.",1
vontade de meter a porrada nessa putinha gordofobica,1
USER Eu não estou nem aí com você se é gay o não mas que vc não vale merda não vale mesmo,1
"USER USER, é só uma fase🙏👊",0
Eu amo as músicas da Juliette mas não imaginava jamais que ela cantaria tão bem ao vivo no show . A bicha macetou o tempo todo !,0
Hoje uma mina ficou se achando pq me deu um fora KKKKKKKKK coitada achando q é a única kkkkkkkkkkk,0
TOTOSA puta merda mn,1
USER HOMOFÓBICOS. Eu curti o vídeo e começarei a comprar no Boticário. Curtam / comprem vocês também.,0
"Achei foi pouco, homem escroto!",1
"RT USER: ""trate ficante como ficante"" eu enchendo a buceta dela de porra no período fértil",1
"O pior é a familia dela apoiar ela e ele, e a familia dele apoiar ele e ela.",0
"Acho q USER deveria ter um pouco de calma, e parar de surtar atoa que USER esta feio, tratar os peão mal, ela manda em nada nao, nao adianta desconta a raiva dela nos outros que tem nadaa ver",0
agora q eu to sozinho nesse mau caminho cheio de piranha querendo me daaaaa,1
"USER JAMAIS OFEREÇA COLA DE SAPATEIRO A UMA PESSOA SEM PERGUNTAR AOS PAIS ANTES. Repitam esse mantra!!! Você não sabe de ela tem restrições alimentares sérias. O pessoal leva na brincadeira, como se fosse mimimi, mas não é. Tem noção que você pode matar uma pessoa?",0
"RT USER: São feministas mais só querem gozzaar com homens? Vocês gostam mesmo é de homem hipocritas, os jovens são massa de ma…",1
"UM USER DE SILÊNCIO. 🤣🤣🤣🤣🤣🤣🤣🤣🤣 mano , os cara se seguraram para não rir , USERkkkkkkkk. Ooooô cara bom de conta história esse . Vocês repararam como ele fala da boca da mulher , dor corpo de mulher , dos gestos etc ? USER. Eu acho que esse cara tomou um pau nem por ter sido pego com a mulher do cara , mas por ele ser abusado e debochado . Ele deve ter feito graça por marido da mulher , namoral 🤣🤣🤣🤣. ELA USER USER QUE PODE SATISFAZÊ-LA . 40 minutos , isso tá melhor que o preço da cenoura 🥕",1
odeio meu padrasto machista abusado do caralho,1
"vampiro que brilha no sol??? USER ""depilado"" a namorada do cara dormindo com outro e o USER falar q tá feliz com isso?? como o felipe USER mesmo fala:"" Que porra é essa??"" USER é ridículo. a sthephany USER ""tentou"" distorcer a figura do vampiro e do USER pra algo + feminino. e isso resultou em uma história totalmente absurda. quando lançou o livro (ou filme) fui assistir pensando que veria um ""vampiro"" e ""USER"" de verdade!! decepcionei geral ao ver a distorção que ela fez.",1
"USER USER USER Então, mas no caso citado não é coitadismo, é imbecilidade mesmo ainda mais com a Linna falando que vai votar um deles no paredão 🤷‍♀️",0
"USER os Parabéns do Monark pelos 90% dos Flow em que ele foi cirúrgico nos debates e perguntas ? Agora o cara erra alguns e já querem ferrar o cara ? USER, se USER ta no mesmo barco , geral tem que estar com a Boia e USER salva vidas para se precisar se molhar , que se molhem todos juntos , agr afastar o cara ? A não ser que seja isso mesmo que ele queira",0
USER tu mudou tudo oh cacete,0
brilhante mais uma USER USER!,0
"USER USER USER parou né? Parou pelo amor de deus, isso não justifica a pessoa ser forçada e mentirosa",0
USER MAIS PRA USER O USER 😂😂😂😂😂😂😂😂,0
rt USER ai sou muito gay por ela URL,1
amanhã tenho duas resenhas de eletrônico pra ir pqp,1
"USER me sotium 👈👁️ pra mim nojento é ver pessoas preconceituosas, usando o nome de Deus para serem homofobicas",0
"Não tem o privilégio do conforto, mas tem uma educação, uma oratória👏",0
"Não estou chocada pois conheci uma mulher de um médico da marinha que vivia viajando e ela transava com qualquer um!!! Encanador, jardineiro, era tipo deu sopa eu como. São ninfomaníacas.",1
"E essa anta hipócrita tem não sei quantos seguidores ainda,o povo que gosta de idolotrar gente idiota sem nenhum conteúdo",1
"Fiquei fã desse cara. USER esclarecido. Não confundam morador de rua com um analfabeto. Ele não tem emprego e nem onde morar. Mas tem conhecimento e valores, e se deu bem pra caramba na cópula com aquela gata! Nunca mais será morador de rua, a vez dele chegou!",0
"atende ai, bb, fala comigo! meu dia do ano chegou, agradecer a todos pelas felicitações e mensagens de carinho.. hoje o pau quebra!!! 🇧🇷 URL",0
"USER USER Quem tinha compromisso era ela e não o cara, se eu fosse morador de rua e uma morena daquela me quisesse eu pegava também e foda-se pprt",1
vc calado é um poeta,0
USER infelizmente pode ter uma surpresa muito ruim á qualquer momento😕😕😕....essa moça está horrível. Deve viver assada .....na carne viva,0
Mata a própria filha e sai da prisão no dia dos pais esse país é uma piada mesmo,0
USER KKKKKKKKKK VAGABUNDA,1
Pois é então aqui no Brasil vale a pena matar uma filha inocente vale a pena matar uma criança vale a pena matar pai e mãe,1
após muita pesquisa cheguei a conclusão de que os xmen no mcu vai ser uma bosta por motivos de não pode ter tensão sexual,1
USER USER maldito gringo di agosto,1
Quem nunca errou feio que atire a primeira pedra …,0
O brasileiro só fecha a porta depois que o ladrão entrou e roubou .,1
"Ele esta sendo cancelado até pelos ""amigos"" que sabem o que ele quis dizer, mas propositalmente não queren entender. Ps o monark que esta sendo chamado de nazista tem ascendência árabe e namora uma mulher negra.",0
kk a USER é uma virgem tem menos de 13 anos só pq ta na moda gosta de crepusculo essas mina tão até se matando só pra fica popular.. T_T ',1
Tá vendo? Enfiar a cara em drogas e bebidas o final é sempre o mesmo.,0
USER USER Se não for pra calar a boca de todos nem vai! 🤨 Você merece amor 👏❤️🖤,0
"ele foi ver pra ter certeza absoluta q isso é uma merda escrota pra caralho =), que era uma história de mulher (mulher nao menina) insegura, um tema que agrada somente pessoas virgens e crianças =)",1
"USER as meninas e os USERs que gostam de crepusculo nao tem ke fika bolados o ke esse USER fala e a pura verdade, USER esse e o primeiro video que eu vejo seu mt bom hahahah.",0
"USER Claroooo, los burros se buscan para rascarse, y los orangutanes también. URL",1
Esa vieja realmente está para decirle MARICA YAAAAAA!!,1
USER gay for me?,1
"USER não, a maioria ñ culpa não. Aquele estupro dos 33 onde só 7 foram indiciados?",0
"USER Ridicula, no es momento pa hacer estas weás. Borra eso",1
"mulher quando fica grávida fica burra!quando começa o nível de burrice e eu pergunto se é gestante, se a respsta é 'sim' eu ate ja entendo!",1
"Gent, Neguinho vai fazer 73 anos semana que vem! HASHTAG",0
"hahaha : "" Maniaco do parque.. Por favor nao confiem em assassinos desconhecidos, ao contrário do livro vocês vão acabar estupradas e mortas!"" Melhor parte.. ^^ :D",1
"o nsgocio é q eu sou uma baitola, porra... é tão difícil me conectar direito com as pessoas, quando eu consigo, mesmo q a parada (relação) tenha MORRIDO eu ainda me sinto bem do mesmo jeito so por falar com a pessoa, e a finada ideia de uma amizade... que sumiu",1
"Um louco na presidência, e um monte de pessoas sem noção apoiando, agora sim vamos virar um Cuba ou pior que a Venezuela",1
"O menina volta pro teu pretinho , não aguento mais ver meu amigo chorar Kkkk pf",0
"Tanta coisa boa pra ensinar, como honrar pai e mãe, e USER nefastos vem com esse ensino podre de práticas abomináveis aos olhos de Deus, isso sim é inadmissível!",1
Incrível como as pessoas morrem de medo da jojo USER,0
tão lindo ver homens dando o cu pras namoradas isso sim eh uma grande conquista do dia a dia,1
"Meu Deus. Tem tanta gente falando disso que eu vim aqui esperando, no mínimo, dois caras se beijando ou algo do tipo e pronta pra defender do mesmo jeito, é claro. Mas, é bem pior. Não tem, literalmente, nada demais no vídeo. São apenas vários casais curtindo o dia dos namorados com amor... As pessoas ficam ofendidas por uma mera sugestão de algo, eu hein. Que mente ridícula a desse povo, pelo amor. Excelente trabalho, O Boticário.",0
"USER USER fala ""menininhas de 13 anos,virgens, que ñ sabem nada da vida""Em todos os videos?",0
Ensinar sobre a diversidade e o respeito ao próximo é besteira???,0
"estou ficando com uma de 20 anos e por algum milagre ela é virgem. o problema é que eu tentei alguma coisa com ela ontem quando estava bêbado 4 vezes e ela recusou e ficou meio recuada. hoje, caiu a realização que posso ter feito merda (assédio e essas bostas), estou conversando com ela normalmente pelo app, mas acho que devo pedir desculpas pelo o que eu fiz, o que eu devo fazer?",1
"Uma palhaçada isUSER, USER no brasil existe isUSER... como pode alguem que pato os pais ou os filhos poder sair no dia dos pais! Quanta hipocrisia viu.",1
QUE USER PERFUME DO BOTICÁRIO CONTINUA SENDO USER KKKKKK,0
Nossa o Lola já e uma bosta..agora com esse traveco cantando ficou pior ainda!!! URL,1
USER USER USER Ayyy esta bruja sociopata todavía está dando lora.,1
puta duma voadora vai toma no cu URL,1
Se nesse menos não falaria tanta asneiras!!!!,0
"Absurdo, usa crianças pra essa imoralidade👿",0
HAHAHAHA QUANTA USER ! USER USER,0
"Contador de história... e o povo se sensibilizando nos comentários, mas vocês são inocentes mesmo né, que povinho manipulavel kkkkkk",1
USER melhor que você bom para ele não ficar comendo porcaria,0
Obrigado tbm ao USER e USER que fizeram um dia inteiro de transmissão foda na Gaules TV!! Quem puder fortalecer seguindo eles!! ❤,0
Uma das coisas q eu amo na minha namorada é a franja delaa pqp q franjaa perfeita,1
"A favor dele? Sério, USER!!!",0
"Só acho sacanagem pessoal que USER foi no flow atacando o flow, pedindo para tirar vídeos, pq não foi o flow que errou foi o monark, prejuízo do caramba por causa de uma boca",0
Para os gayzistas LGBT: URL,1
a perseguição desse velho broxa canalha filho da puta aos estabelecimentos noturnos do centro já deu... ai juntam-se o caquético com os porcos fardados e acabam com tudo,1
Eu quero morrer. Não aguento mais ser brasileiro. E olha q eu não sou nem de longe eleitor dele.,1
ignorante sim pq não pago simpatia pra gnt inconveniente,0
USER USER USER USER Tá putinha vagabunda? Lambe meus ovo,1
homem eh um bicho mt estranho,1
Mais um que tem medo de homossexuais. Masculinidade fraca!,0
"USER USER Nossa, eu tenho óooooodio de gente que namora e não tem o @ do parceiro na bio do insta. Como a gente vai saber que tu tá num relacionamento, bicho? O cara é escroto duas vezes: Uma porque traiu e outra porque não colocou o @ da mulher na bio.",1
Um casal sádico deveria ser investigados. Tem Loko pra tudo . Esse cara não é culpado . Quem assistiu albergue sabe .,0
Engraçado é que o convidado tbm falou bobagem! Mas USER teve a hombridade de assumir o seu erro! Tá pagando de vítima agora!,0
USER Kkkk homem lindo viu pqp,0
suma logo seu insuportável do cacete vai se fuder ome macho chato da porra ta na hr de tirar meu nome da boca ja que eu sou tão lixo como dizes,1
Em breve treta das bravas entre LISI vs JOJO USER,0
"que você USER sabe qualquer merd que falar vai ser usada isso queima a imagem do flow e estúdios USER em geral se queima por estar a atrelada para o bem ou para o mau, Existem inúmeras nações que forma ante outros povos e inúmeras religiões distorcidas isso é fato, mais uma coisa é liberdade de expressão de falar qualquer merd, outra é agir matando ou escravizado as pessoas por não gostar se acha superior, USER tenta justificar liberdade de Expressão com coisa que não tem nexo, tem coisas que são erradas, independente de geral ser livre para falar coisa.",0
USER então miga s i. g i l o .,0
"Muito bom parabéns, nao vejo nada demais em propagandas com gays e lesbicas",0
"Porque vcs estão se importando tanto? Se vc é heterossexual que bom pra vc, se não gostou da propaganda não assista, vcs falam tanto de USER e estão julgando o próximo? Isso sim é um exemplo feio para se dar as crianças, USER não gostaria de ver as palavras de vcs",0
"Gente, isso é jogada de marketing, pros lgtv apoiarem tal empresa, kkkkkkkk Isso é farm de dinheiro de gay",1
"USER USER você fala com a premissa de que eu me importo com o que vocês héteros pensam de mim? Kkk, vocês são uma piada",0
"Nunca vi alemão pedir nazismo de volta, nem USER fascismo, nem USER fascismo de Pinochet, nem USER fascismo de Franco. É só brasileiro USER pede ditadura. País merdinha, viu",1
USER Evoluiu...antes comia traveco pedreiro,1
Só porque ela é grande todo mundo tem medo dela a eu ai ia bater de frente com ela peito a peito .😡😡😡,0
"A Miley foi impecável vai se foder eu amo essa mulher, pronto e acabou",0
"USER USER preconceituosa... Faltou colocar a cadelinha do zoófilo, a árvore do pansexual e a criancinha do pedófilo..",1
A única coisa q odeio mais q mulher interesseira É homem imbecil q cai no papo dessas pilantra VSF VC TEM CEREBRO PRA ISSO PARA DE PENSAR COM A PICA CARA TA NA CARA IMBECIL DO CARALHO n sei pq me importo ainda cara empatia é uma faca de dois gumes,1
"USER é romântico pra poha USER USER com o mendigo. Uma pele macia, quente, uma voz doce e envolvente. Caray o maluco é USER USER",1
USER menina chata,1
Qp con las mamás que encontraban las direcciones de las fiestas sin Google Maps,0
USER USER... É o fundo da faca...,0
"crepúsculo é sim feito para garotinhos e garotinhas que não sabem nada da vida, e quem se morde com esse vídeo é porque é uma dessas pessoas",1
Cadeia pra nazista!!!,0
"USER USER Um desgraçado, vagabundo, asqueroso, ladrão, infeliz, seboso de uma figa. Vem com essa conversa, tu e tua corja de petistas são a maior vergonha do Brasil. Tu nem era pra tá no país deveria perder o direito de ser brasileiro e terminar teus dias numa Cuba ou Venezuela da vida. 💩",1
USER tem culpa da sua falta de imagiUSERação e de USER coUSERseguir distiUSERguir o que é literatura da realidade! USER USER é o edword és tu! Se USER fosse o USER a bella estaria morta! o USER tem uma temperatura corpural bastaUSERte mais queUSERte que a dos humaUSERos e utiliza-a para evitar k ela morra... o edword USERuUSERca o poderia fazer pois é tão gelado como mármore! ele USERega fazer amor com ela porque tem medo de a magoar fisicameUSERte e ter de a traUSERsformar para a salvar por isso decide casar primeiro!,0
USER USER USER Minha cunhada teve um surto arrancou a roupa e correu pra rua se não tivesse alguém na hora pra conter ela poderia encontrar um aproveitador e abusar dela na sua fragilidade 😢 Até hoje ela não lembra de nada e nunca mais foi a mesma 😢Fico triste por essa moça 😢,0
USER bolsonaro é um assassino.,0
ayuda el vagabundo me esta acosando sexualmente URL,1
USER Vdd a jessi é chata pra cacete,1
Pra mim não existe xingamento pior que esses! Pior nível existente,0
"caraça, a beleza da sua namorada é de outro mundo,nmrl... — Ainda,brabona fala tu... Vagabundo Da Uma De Maluco, Pprt! URL",1
"A confusão não é gerada pela religião, e sim pelos hipocritas seguidores. USER USER USER E !",0
Son tan retardados los hombres,1
MARICA YAAAAA URL,1
"É sim sua arrombada, tão monstra que dormiu 2hr pra trabalhar 15hr seguidas, toma no cu",1
"E também USER a Jojo já deve ter passado por milhares de coisas machistas, racistas, gordofobicas e elitistas na vida... ela não é obrigada a ser empática enquanto tratam ela sempre de forma preconceituosa e acham que é obrigação dela cozinhar, limpar e ainda ser educada.",0
"Aí ninguém merece só música de tik tok na balada, ridículo",0
USER Tinham que te colocado o USER USER esse sim tinha coragem de peitar qualquer um,0
USER USER...huaHAUHauhUHAUHu... Ele comeu a folha...hauHAUhuahUHAUHuahu vc tem talento pra CARALHO cara,0
"USER USER É uma pouca vergonha,e as vitimas da Kiss???? Esse indivíduo deveria estar preso",0
USER iiiiii quem foi o palhaço q magoou minha gatinha?,0
tenho q para de fica falando odeio viadinho pq se nao vo acaba apanhando algum dia,1
"USER pena q ele USER morreu, mas USER c preocupa ele vai legaliza o porte d arma então jaja ele vai morrer por culpa dele mesmo",0
Porra a desgraça dos vampiros USERuUSERca mais os vampiros e os lobisomeUSERs serao a mesma coisa aUSERtes eles davam medo pa caralho agora disputam um vagabuUSERda e USER têm USERem a coragem de lutar por ela fds...,1
USER felipe e USER,0
USER USER vc é um veadinho,1
RT USER: USER USER No mamar florero de miel....da saludos a HASHTAG Proyectos ambientales....tal…,0
