text,is_hate_speech
antigamente lobisomens feras sanguinarias travavam batalhas contra vampiros agora menina ve lobisomem fala“nossa estranho lobisomens andão camisa user enusernde coisa user vampiro user brilha sol caralho user user user user camisa user user lobuser user user user user user porrraaaaarraaa,0
rt user aproveitando férias moldar personalidade presencial estudioso faltoso piranha preguiçoso tal esco…,0
user folha desde sempre apoiando ditadura apoiando fascistas esquece falar sobre escândalos emprestar carros ditadura ir torturar pessoas folha golpista nunca faz “autocrítica” url,0
vingativo kkkkk user covarde user,0
última vez pisei tamandaré deu merda crl prometi ia vir pra buraco aí hj vim dnv dnv deu merda crl kkkkkkkkk lugarzinho porra vsf,0
user son los aviones combate más modernos tenemos ineptos y los compraron ustedes compraron ni un planeador corruptos,0
user 🌐 silêncio mata,0
user user tche ta inveja melhor regiao país pia azedo 🤣🤣🤣 fala perto gurizada pra ver acontece cntg bostinha facao ja ta afiado mlhr ti atipa daqui¡,0
machos q ficavam desmerecendo lá negra acima peso vcs n ligam,0
user bolsonaro sente sabendo merdinha humilhado gente foda bostinha smttttttttttt,0
oque idiota pode fazer mãe sempre disse selecione bem amizades espero tal user pague justiça incitou espero user user justiça façam parte fala abençoado user exatamente oque especialista disse nazismo pregava arianismo acredito user quer lido falou realmente criminoso realmente cometeu diversos crimes c fala tá aí pra sofreu nazismo existe algo chamado ética conjuntos normas valores fazem mundo dar certo user entendeu 30 poucos anos vida fala graças ética existe mundo graças conjunto normas valores,0
user tentando defender anitta conseguir entrevista tudo falou sobre “especialistas” vai água abaixo tweets fez… vergonha,0
parabe´ns cara vc user fodah,0
jojo tá feio aparece,0
user teste dna deu 100 portuguesa caralho etc,0
respeito mulher xingava agora cara muitos fazem parabéns user,0
parabéns monarzi revelar caráter opinião user palavras lindas user acha tudo pode fazer podemos tiro cabeça todos têm direito fazer tudo certo monarzi direito destruir certo user brasil pois user acredita tudo pode user user direito certo maior otário monarzi,0
vampiro brilha sol user depilado namorada cara dormindo outro user falar q tá feliz felipe user fala porra user ridículo sthephany user tentou distorcer figura vampiro user pra algo feminino resultou história totalmente absurda lançou livro filme assistir pensando veria vampiro user verdade decepcionei geral ver distorção fez,0
user errou feio cara irei massacrar todos erramos cara segue frente levanta cabeça boa sorte,0
povo burro brasil invés ficar perdendo tempo discutindo tá certo errado focar pandemia povo esquerda direita entende momento pra ficar brigando fazendo manifestações pega merda vírus vai dar trabalho pra pai mãe pode ir pra casa direito pois ficar trabalhando dobrado hospitais vamos respeitar quarentenaparem comer capim pouco,1
user merda ridículo imposição pior ainda utilizandose crianças,0
mongolóide vip hashtag,0
chora user kkkkkk,0
bicho doido,0
user user tava ate indo bem ler palavra macho errado homem merda desse femimismo apodrece mentes,0
caraca acordar assim tá pior aqui casa kkkkk cara maluco vontade enfiar mão cara apesar pra briga😨😬😮,0
rt user usted puede criticar alguien si usted también tiene rabo le majen siéntese mejor,0
q nojo dessa mulher kkk educação 0,0
rt user man si es atrevido dice eso fico pero le olvida su mesías alias aureliano es un narco genocida y terrorista…,0
user user amigo problema puta crise fucking vírus rolando user chamando galera pras ruas user tipo presidente cara pingo preparo pra nada fica estressado literalmente tudo falam invés responder entrevistas forma séria consistente cara responde vou dar furo pra jornalista,0
user user desse filme mongoloide,0
juiza ganhou respeito kkkk parabéns juíza aí q botar rachando msm nesse bandido luladrao,0
user user user user user urr durr xenofóbico fudido caralho,0
mlk hj dou risada mentiu ter pego mina pra ficar cima kkkjkkkkkk pilantra ai vou ter zuar,0
user escolheu user user humilhar user user 😉 user boa,0
proposta ridícula ridículo empresa precisar fazer pra conseguir cliente galera vem pra up,0
user ya suéltalo ese mongol ilusionó su gente con lecaros jajajajajajajajaja juraba el chato jugaría la 😂😂,0
pudesse mordia próprio rabo 😋,0
user user user lula ladrão desgraçado representa corrupção país,0
cara nunca mendigo 👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,0
user disse user ridículo deve fã crepusculo aguentou ouvir verdade sobre filme kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
lgbt certo espalhar burrice,0
faz calma agr arrombado fudido caralho,0
user gatinha pinga ladrao,0
user sinto assisti crepúsculo gostei filme tudo user user falou verdade dá negar enredo fraco garota pateticamente sal todo mundo louco desde garotinho graça escola cara bonito popular colégio passando amigo infância fala sério né vamos combinar direito mandar ninguém calar boca respeite opinião outros fique,0
userdeus issoso user saidinha user criou merda,0
ah vai toma cu desgraçado url,0
oh burro lembrei loja lado teatro sá bandeira,0
ueaheuaehuheauheauhae mano cara ficaram puto aaah amor deus user user,0
user país cachorro mija poste enaltecer degenerado desse prova viva país merece,0
faz sexo bela porque morto então sangue endurecer pinto,0
user user única visibilidade midia coisas ruins assassinatos nenhum privilégio cara tentando mudar representados pessoas normais casais normais discursao toda causa video onde mostra todas formas amor foda,0
rt user acompáñenme hacer origami con mi papel estupida,0
preciso dinheiro dinheiro procuro trabalho encontro nada cidade merda preciso fazer implantes dentários onde cair morto faculdade medicina perto daqui fica 380km fila imensa implantes pagos apesar pouco baratoscomo faço conseguir dinheiro puta merda,0
foda ver gente provavelmente nenhuma base marketing querendo dizer erro único erro sociedade homofóbica msm,0
bosta comercial pqp,0
so queria ver uns peitos balançando buceta sendo masturbada alguem dispoe retribuo hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag,0
user lamento fizeram vc vejo user nazista vejo user idealista defende direito livre expressão roubaram justamente causa vida sim criminoso dia liberdade expressão podese discutir pra transformar mentes nazismo sim começou partir momento permitiu ter outras idéias partir estabelecido user vc flow fazer flow user sendo user 🤔,0
user falam situação bosta fizeram mesma coisa aconteceu agora scooby sorrateiro escroto to passada,0
user user nao debatendo user dizendo user sendo homofobico errado nao criança qualquer pessoa discorde user criança acho unica criança aqui user mentalidade sim estudo ajudar pais realmente nao ligo oq user acha n conheço to afim conhecer,0
q porra,0
muita user user sai boca chega vontade vomitar vocabulário chulo user,0
dar cu — nenhuma url,0
queria saber oque povo besta fazendo vendo vídeo pior ainda comentando crlho deixa menina feliz menos coragem mostrar coisa muitas gostosonas so escuro mostrando corpo nenhum momento video vih influenciando nenhuma mulher gorda parem julgar parabéns linda oque user quiser gorda magra paga comida user,0
rt user q viadinho lindo vai foder kaworu,0
users vendo cagadas bk 🎉🎊🕺🥳🤣,0
tão engraçado diferença poder pro querer povo fica tipo “bichinha pode” fico tipo feliz pq sei q escolhi melhor parte libertador,0
cara user fala merda puta pariu cara idiota jogador minecraft,0
user hay papás pueden costear una niñera disculpa los arruinar peda egoista,0
meudeus acabei sair shopping pra comprar roupa mae senhor amado to gorda gorda gorda gordola fatspo nivel th415 c4r14 vou matar fazer nf 500 horas tb pro cinema comi q porca vou tentar v0m1tar tudo,0
acho verdade queria vingar cornofoi direto pra frente casa,0
vim deixar dislike alias achei ridículo,0
quebrapau aqui academia veio cara tirar satisfações outro pq ficou mulher corno levou soco cara caiu chão,0
desculpem gente mulher nenhuma feliz corpo precisa tratamento doença,0
user demais… cheio mongoloide nessa porra,0
bando pilantras filhos,0
dc vagabunda cancelou selo onde maior detetive junto batman rorschach ousa chamar detetive comics agora vou ter selo vertigo bando outro detetives meio abluble ideia url,0
abraço bem gay user 😚🏳🌈🌈,0
moro user mente user user user,0
user foda parabéns felipe user melhor,0
y yo ahora fuck cupido soy estúpido lo nuestro único,0
basta palavra mãe sinta lixo,0
puta paril user virgem virgem virgem virgem virgem,0
vai coloca ordem cusera einnnnuser sabe user fala user usero user trabalha pra userii user pesuseruser user falaontem user user user user tava user,0
user user infelizmente monark longe demais errou huuser errar espero aprenda pior forma lição vida,0
user romântico pra poha user user mendigo pele macia quente voz doce envolvente caray maluco user user,1
toma ratio fudido caralho url,0
ridículo assisti época acabei chorar aqui kkkk,0
user user outro retardado primeiro manda matéria jovem pan mentirosa segundo toma aqui outras fontes mongoloide massa manobra assim sabe verificar sozinho bbc bolsonarista url focus time ciro url,0
vcs uns porcarias user q criança,0
500 anos user user aqui nada mudo,0
q coisa ridícula,0
caralho fudeu,0
hoje user user fala tudo contrário vídeo user,0
tia ligando p prima q disse q ia chegar cs 200 ta ate agora rua cade voce filha puta parece gosta irritar,0
palhaçada isuser user brasil existe isuser pode alguem pato pais filhos poder sair dia pais quanta hipocrisia viu,1
professor manda inbecil estudar,0
pqp vou usar,0
pior edição fazendo kkkk kkkk expulso único famoso,0
user óbvio nazista falou merda sujou onde chegar vai taxado nazista user dois user ficou bo mão pra resolver user vai ter dureza frente,0
rt user curso eh coisa gente retardada mental vsf q porra,1
user sim adoro professor burrinho,0
user diabólico,0
user user user user cara líder rachadinhas juntamente perfeita ex acessor abriu boca trombone saiu sujeira esgoto resumindo bandido vagabundo oportunista metendo pau presidente,0
user user user falando salles ter sido ministro bolsonaro ter defendido madeireira ilegal cortando madeira nobre pra vender preço pinho quintos infernos vc mal informado pra alguém tão seguro sabe tudo,0
user falei nada falei cgi inicialmente tava merda cara veio atacar issokkkkkkkk falei fatos,0
pensar apaixonada crepusculo 1314 anos hoje 16 acho merda falas nexo nenhum arrependo gostar porra dessas,0
nada pra fazer vou assistir ppv pq hipócrita,0
rt user fez puto gemer gostoso pauzão url,0
user ladrão lula demente psicopata,0
user todynho user user vacilão tudo quer resolver grito achar pode peitar todo mundo user,0
pode dar aulas pra homens escrotos,0
povo brasileiro vão usar viseira cego presidente doido ter derramamento sangue povo vão ver consequências acorda povo,1
user filho puta desgraçado ofendeu juiz ladrão prepara pq vcs bandidos tratamento vai altura,0
fala bem tudo user user votou bolso ti fude givanildo,0
caraio so burra irmão q eh tipo josi diploma poxa henrique trancou curso último ano q macoero p explica coisa vivaaaaaaaa,0
user voce so gosta d sapatao caminhoeira cabelo rapado,0
sabem orgulho vendo menina negra virar médica jovem negro virando advogado dá vontade sair rua ir pra estrada pagar promessa hashtag,0
user tiene la fortaleza un psicópata narcisista 🤷🏻‍♀️,0
crime hororroso aceitar realidade hoje dia crianças lgbts comuns pensa maldade imensuravel pessoas idiotas querendo esconder preconceito culpando outro alguem fato querendo ajudar vcs adustos comentando merda nesse anuncio dão vergonha sinceramente,0
user certicima poha user user demais user user machuser escrotuser user user user fazenda estao riubando duser user escrotuser,0
user galera pod user chamar entrevistado oreia igual pra parar passar vergonha 😂😂😂😂,0
dedo quente nesse cu gelado kkkkkkkkkkkkkkkkkkkkkkkkkkk,0
mulher folgada mandava tnc nao levantava,0
user user user user vc parou pra pensar mulher sentiu atração chidrudo marido mandou surto pra cornão repente mulher cansou homem realmente surtou pra mostrar q livre tava consciente mendigo devia tá seca tbm,0
entendo porquê aceitam logo user vai ganhar foda enfim kkkkkk,0
user tava hora alguem divulgar pontos negativos crepusculo apesar ter pontos positivos nessa merda enfim,1
rt user moral mongoloide escola,0
user erro ter deixado user falar repreender sendo assim impossível seguir canal user user errou feio,0
user fudeu p,0
user cair cu bunda,0
user user vampiro gay,0
caras xbox mil grau deve rindo drogas comeram cérebro monark cara insights genialidade bestialidade fico triste sei vai flow monark,0
user levou pro buraco igor bom pôde levantar seguir caminho daqui pra frente monark lamento continua achando expressou mal entenderam errado bebado… fundo poço consegue entender merda fez,0
user tocou berrante aí gados cegos vieram meio pandemia meio aglomeração endeusar mestre aí aumentar quarentena número mortos causa pandemia sabemos culpados inclusive próprio presidente república,0
user user user nunca,0
rt user user plantamos bando canalhas agora pagamos preço,0
tá certo deixa maluca gritar fica calado fingindo tá ouvindo porque pessoa discute louco louco tbm user campeão calado mitou aceitem,0
falsidade começa aperto mão fi sinto longe fodase p muita coisa ✌🏻,0
user vigarice comunavirus esquerda fudeu intervenção militar dois poderes legislativo judiciário,0
muda conteúdo cara caí depressão denovo favor volta gameplays vlogs envolve tretas favor desiste gente gosta monark,0
rt user user hipocrita mejor quedate callado idiota,0
user user tudo bem mae gritar ficar quieto porque mãe user nao ia gostar alguém gritando cabeça user falar nada,0
user user falei falo doentes userue saem casa p apoiar presidente user lembrar user ñ user babar ovo presidente ja user userue user funcionário nação,1
caso user sistema podre exterminado eleições limpas segurança nação mãos corruptos oportunistas alguém incomoda simplesmente eliminam ter eleições toda sujeira,0
tudo vêm globo lixo,0
jojo user biel user bobo vezes vale pena responder etc hora acha pra enfrentar 😂😂😂,0
coloca logo mal educada cadeia,0
user deixa calhorda safado,0
user passa bosta ainda,0
user to louca p ver pachinko vi q personagem eh meio canalha ne veremos,1
querer lacrar igual faz uso maconha deu mal cara argumentos merda,0
kk user virgem menos 13 anos pq ta moda gosta crepusculo mina tão matando pra fica popular tt,0
user cara doente ator vingado esposo falando detalhes relação pobre mulher conseguiu convencer teatro homem caráter ficaria discurso user user user,0
user kkkk espero lula ganhe termine acaba brasil merece vou camarote assistindo merda fez,0
so fodo nesse inferno qm disse q quero viver url,0
user ladrão filho puta,0
lixo marketing user user,0
fácil cômodo descer porrada cara agora cara falou merda fato reconheceu quis porque precisou entende consciência assim precisa ajuda cachaça parar pagando preço altíssimo agora maconha uuser … vida vou concordar muitas coisas posso atacar mano “uuser uuser uuser uuser esfriará” penso chegou hahaha defendendo fala dizendo podemos agir melhor ouvintes fans programa user humano user ✌️ salve salve user 😉,0
user idiota ultil user destruiu hipocrisia bolha monark user,0
nate merece mil tiros meio cu fdp fdp fdpppp,1
sorprende la gente hipócrita,0
crepusculo bosta,0
putinha eua ultrapassa todos limites bom senso,0
viajou moral 🤣 user chamas merda kkkkkk,0
europa sempre sendo inútil conseguindo autossuficiente sempre pagamos conta querem falar países emergentes pilantras url,0
dedo quente nessecu gelado kkk rachei,0
stephanie eh escritora horrorosa descrições infantis personagens nenhum atrativo simplesmente base nenhuma criou saga user saga entendese literatura conto épico onde destino muitas pessoas jogo ultimo samurai star wars senhor aneis user user user user user crepúsculetes,0
verdade user vai sair vai continuar ganhando dinheiro programa vai apresentar user user user vai sair forma definitiva povo leigo user,0
user user user user negroooooo user,1
limite capacidade saco bozoo esperando impedir louco falência globo impeachment bozoeu cravo coluna dois bozo,0
cara canalha aqui url,0
gays 😒 user fez mundo pra homens casarem mulheres vice versa,0
bom pra merece porra nenhuma 👎,0
dónde corno viene el famoso pew pew madafakas 😵‍💫😵‍💫😵‍💫😵‍💫,0
odeio canal video kefera 5inco minutos user melhor,0
desrespeito brasileiros sei inventou ridículo q ter cadeia perpétua q querem pena morte,0
cara realmente fraco despreparo derrubou falava merda,0
maldito sea el día elegí el cole en donde estoyy orientación en programaciónnnnn🤌🏼🤌🏼🤌🏼🤌🏼🤌🏼,0
user cara mendigo votou vai votar novamente bolsonaro user toda inteligência anulada kkkkk,0
kkkkkkkkkk falo tudo caraa mulher tenta fuder toda porra história lobisomens vampiros,0
user vergonha brasil país lá dessas coisas anuncio piorou futebol tá dentro disso vergonha país,0
user jogou projeto 34 anos 2 minutos agora aguente consequências,0
user gordinha bonita,0
user user cala boca moleque ministros fizeram toda história tia birrinha infantil,0
conversartem afastar logo presidente vagabundo,0
fala bem pra caramba,0
rt user come primeiro parte bolacha demente url,0
fodase junto user,0
momentos triste terrível brasil mundo bosta fazendo campanha politicagem bando burros egoísta apoiando enquanto outros choram perda entes queridos nesse momento vergonha brasileiro😢,0
user user user ent user user levanta vc tá hóspede,0
user user user user user olhos user crespúsculo crl useruseruser,0
user user vc sabe autor desse livro drogado escreveu zeca dirceu família ladrões alucina tbém😂😂😂,0
user user user achou propaando horrível noção,0
parabéns comentário hipócritas,0
nao suporto carol parece ta drogada tempo todo,0
user user moleque ridículo disse criança desenho animado nick 🤦🏻‍♂️,0
user chamem negros neguim mandem todos tomar cu digam puta esqueçam falar mocreias ah chamar todo mundo analfabeto funcional toxoplasmose acreditam terra plana pezao,1
user muie diabo yo,0
user menina chata,0
userfumou muita maconhabebeu demais falou muita merda tambémque sirva lição boa sorte caminhada,0
user kkkkkkkkkkkkkk boca suja,0
entendo pq desses famosos serem tão cafonas…,0
tá pq mordeu pimentão caraio url,0
so merda medo pessoas wue falam pensão,0
user entendo pq user user fica medo user homem nessa porra,1
presente morrer logicamente dúvida nenhuma nome serás escrito livro trevas fogo inferno 👹💀🔥isso sim vai pro fogo inferno,0
ultima coisa massa mendigo ter dito votou bolsonaro agora disso tá tendo imbecilidade url,0
mendigo fala melhor caras entrevistando user user aprende falar pouco cara kkkkkk,1
user user user user user user user fala user user user cu user user user user userse user user crepusculo user dessa merda filme musers parado user user user user felipão user user user user user cu,1
user vtc tô esperando vc voltar fdp,0
user vou queimar cota hate diário recreativo prazer vai fuder bando canalhas,1
62753eu tentando comer tá complicado virgem complicado passar mão buceta porra tá estranha acho vou pagar foda,0
user user user porque también asesinan personas inocentes muchachos solo en el lugar equivocado pagan lo deben eso están las leyes acaso tú crees los policías y militares son corruptos sadicos enfermos mentales crees hay todo allí,0
homem bicho estranho tmp ridículo 🤣,1
user user mancaaaaa eh miley ze buceta,0
todos deveriam sumir brasilabandonar país onde leis protegem bandidos,0
acha jogo ta errada passa pano pra user folgado pra user,0
juiza pilantra igual sergio user quer impor lei mordaça ameaçando obrigado rél expresidente lula ficar calado armação geral judiciario partidario curitiba sergio user,0
mandou fodase pros apoiadores kkkkkkk,0
user user user pedófilo kkkkk mds tanta idiotice q chega engraçado,0
nojo desses comentariostodo mundo merece respeitoquando vcs vao entender,0
user bando ladrões hashtag,1
tipo viadoh tosco 🤢🤮 url,0
gracias ya suficiente tenemos con castillo y la bancada pl aguantar más gente incompetente ignorante url,0
user user user user huy si el burro hipócrita,0
user user user user p ofensa antes ter 5kg cada doq parecer gordola enorme,1
user user fanaticos qualquer pessoas 2 neurônios,1
suma logo insuportável cacete vai fuder ome macho chato porra ta hr tirar nome boca ja tão lixo dizes,0
fiz strogonoff maior larica logo vou comer feijão fodace corpo regras,0
sla viado desse exposed aí q vi pqp sei pior vsfd sei q vez prova q mono yasuo tudo doente,0
final única prejudicada própria user vagabundos felizes transando user,0
user mandando tomare percaestá achando dona quebrado cara drla,0
leis brasil caso porcas,0
rt user gordo mantecolero puedo más,0
vou pessoa saiu lixo pro luxo saber matem谩tica b谩sica sim,0
comunismo deveria criminalizado user pois escraviza próprio povo user trabalha pro governo compra governo pode morar onde quer trabalhar onde quer menos deixar país grande presídio,1
user user fod,0
user jajajaja le gusto lo le dije bloqueo hahaha parece bicha 😂🤣,0
user user user hijueputa guerrilero negriando la humilde feminazi,0
user user lamentável acredita existe pessoas apóia lgbt,1
internet permite tá lá puta pariu estressar aqui confy lar 🤦🏻‍♀️,0
user apaixonou kkkkk vc voltará morar planaltina sim povo lá acolhedor kkkkkkkkkk,0
impressionado maldade canceladores porque sabem user user defendendo nazismo confesso gosto user user mentir pra prejudicar algo atormentador cuidado todos defendem hipócrita cultura cancelamento dia atacados,0
user user user tudo menos parte user user q user user user user pra krl,0
user sim duas porcarias,1
user tô ver pessoa cara pau igual sujeito,0
estado organização criminosa terrorista fez holocausto fez ditaduras fez guerras fez pandemia simple resolver problema,1
tiro contexto mlk user falou merda quer tá certo,0
precisamos sim falar sobre issouser user assim comunismo poucos minutos pesquisa qualquer descobre user user matou tanto quanto próprio nazismo condenar relativizar outro hipocrisia,1
user user kakakakakak povo br escuta sertanojo bregafunk todas porcarias nao conhece musica verdade,1
user user user pau botão,0
chicos las caras larreta puede psicopata mínimo url,0
alguém link pro orgia traveco original n consigo achar,0
cara transou mulher outro ainda cita deus pra mim hipocrisia igual dizer humilde festa user solidarizou favor pena situação rua destrói alguém pecador sí dizendo jogar pedras pedindo deixe influenciado reconheça vitimismo onde,0
user rruser pra porra user nunca usa porra camuserseta fuserlme,0
justifica agressão infelismente nunca história eleições deste país alguém plantou tanto ódio própria população idiotas partidários ferram nação preso sendo cogitado presidente outro omisso corrupto preparo algum sendo ovacionado belo combustível subletrados fazerem caos país trata partido bom senso coerência esquerda direita alimentamos divisões todas formas nesta nação enquanto olharmos próximo velo humano estaremos fadados lastimável,1
odeio padrasto machista abusado caralho,0
cara orador usou muitas técnicas discurso hipnose conversasional caramba,0
user user veja videos mito babaca,0
user caminhoneiros merda bolsonaro aí diesel caríssimo caminhoneiros ainda apoiando bolsonaro turma foder pagar diesel 10 reais litro pastar mato típico pessoas inteligência,1
pois édecaiu sofrer lavagem cerebral feministas,1
rt user cara idiota responda,0
bandidos nojentos,1
explicar pras crianças user lgbt porra bk,1
ô véi moral fala mal novo filme batman famoso the batman otário,0
kkkkkkkkk porra motivo user olhares user user user fã saga user user bom pior videos fazem sentidos canso ver,0
user user cara user engraçado veja menina user manda aki user,0
user kakakakkakaa porra q morra mn einn palhaçada perfeita mn vsf,0
user user vida peido capeta kkkkkkkkkkkkkkkkkkk,0
user vai acabar matando mds pressão encima kkkkkkk,0
problema psicológico,0
user vou assistir canal televisão todos uns traidores pátria,1
homem ridículo,0
sim inteligentemais falando bem porquê gostou transaagora venha tratar santo,0
bonde chatuba neguinho beira mar falo ossama so selcinho choro ue fudeu barato louco processo lento liberdade pros ja pros irmão sofrimento 💪🏾🙏🏽🥋🥋🐻🐻🚩🚩🔐🔒🙌🏾 hashtag,1
queria dedo quente cu gelado foda rialtao uiasuiasuiuasias user user manda abraço,0
user mando un link todo raro termine meter mando solo y ya hay 8 personas preguntándome qué es eso pena marica cómo ocurre,0
vampiro merda,0
demente precisa psiquiatra verdadeiro idiota mania perseguição,0
povo estuprado governo merda todo dia aí chance economizar pouco vem empresário filho puta vive vender produto merda pra tentar acabar url,1
user user deixa felipe paz cada opiniões user apenas troll sabe nada aposto viu filme,0
bispo valdomiro user mesma coisa pra ganha ibop cu sujo memo bolsonaro,0
achei pouco homem escroto,0
importante dizer coisa sempre pratica acompanha discursos comunismo exemplo fala tal igualdade mundo utópico verdade user sistema matou mata países américa sul passando desgraça ontem hoje centenas pessoas disseram ofendidas fala monark horas publicaram redes sociais user matou pouco hipocrisia absurda indignação sistema maldito matou 6 milhões exaltando outro sistema maldito matou 100 milhões lembrando comunismo matou negros gays mulheres crianças cristãos etc todos sistema poder user todos espalharam morte nessa terra,1
rt user seguidores queridos dizem direita segue lixo deste assume melhor ficar antigos conheço por…,1
falou merda muitas vezes… dessa vez merda grande user user podem pagar merda monark vida segue,0
mi sueño es hacer feliz nadie mi sueño es verme en un futuro lejos gente estupida rodee,0
user user user hora fazer filho cara mau caráter bom né vou deixar claro pai faz cria otário cara quiser criar filho outro cara blz prestaria papel responsabilidade nao,0
retardada,0
mulher vai encarar realidade dia aproveitando fragilidade homem carente carnal pois totalmente abominável olhos deus mulher carnal deus maligna possuída espírito prostituição,0
user citam exemplo vida né país desenvolvido cu po ricos nada pago pau esportes pra,1
cara conseguiu defender nazismo user q parar usar droga moral,0
vergonha pais gay,0
pqp vida meme pq cmg acontece coisas,0
user user torcia agora mostrou saco lixo lá dentro falta caráter piores defeitos humano pode ter firmou acordo menos 1 semana voltou atrás disse mostrou palavra vale menos risco n’agua vai queimar 🔥,0
to sendo bem trouxa submetendo mds,0
inacreditável pessoas aqui comentários vejam cara expor mulher dizendo detalhes pornográficos fez ainda insistam nessa balela cara respeita mulheres cara fez gestos obscenos menor filha mulher questão povo brasileiro nasceu feito idiota possível,1
mano gangjae demonio fudido insuportável aceitasse fracassado melhor lixo porco nojento merda smt bostinha,0
caramba história louca,1
kkkkkkkkkkkkkkkk malandro demais mulher quis dá culpa corno bravo marido fica insistindo estupro,1
user user user ñ bom jogador bom farsante,0
user user le olvido decir es un violador y manipulador mentiroso,0
perder liberdade tão ruim qt perder vida tipo saidinha têm vítimas povo mitsubish óculos escuros bem vestidos ordinária parece madame moral suja foça óbvio errada filosofia poxa daí vão ter sensação sação perdendo vida planta colhe user pensaram antes fazer akela atrocidade sim sair pra limpar valeta voltar somente,0
mulher diguinidade ter bom carater naõ vota canalha mulheres vagabunda vergonha vota nele url,1
quero vá pra puta pariu tô saco cheio,0
user debería en un sarcófago momia asquerosa💩🤬😡 url,0
user pura payasa es y ridicula le causa risa tanta sangre derramada,0
delinquente flagrado fumando droga aqui camarote glacial joaquin teixeira levemente espancado encaminhado autoridades hashtag,0
ligue comentário saúde boa siga vida corra atrás melhore pessoas preocupadas pessoas mesma auto estima vc menos obesa dança famosa pior magras toma queda quebra logo algum osso sedentárias fazem merda,0
user voltar nazista fica falando user,0
vdd fazendo tá putaria cultura,0
cara pau pq cupins comeram tudo,0
pilharam pra ir pra cb uber 30 reais disseram iam ficar pouco tempo amigos sabem conceito deixar afim sair né toma cu,0
10 milhão exibição useriesse user user user,0
user falar certa rede tv tava forçando barra hoje pra transformar situação absurda caso estuprado dava dar ódio,0
user user user user jair arrego todos amigos pastoresdamares evangélicos afins tais cidadão bem evangélicos ficaram pecha pilantras tudo graças imbecis voltasujou evangélicos,0
tá tudo bosta,0
podemos deixar esquerda tomar gosto podemos deixar q pensem voltar poder nois 212 milhões brasileiro podemos perder país meia dúzia vagabundos nunca trabalharam lutaram br parasitas inúteis url,0
user pilantras dois,0
rt user olha pra cara gorda feia isabelle contar voz irritante url,0
