text,ataque_grupo,ataque_individual
"USER USER, USER é mal amado isso sim. --'",0,1
"Agora pede desculpas,sei ou pediu desculpas,por não ter mais contrato,ou não ganha dinheiro mais no YouTube,mais tem gente burros,que fica seguindo,seus besta quando USER fica ai passando fome,ou até sem dinheiro,ela enchendo bolso dela de dinheiro,eh fazendo festa",0,1
"Simplesmente o pau torou na praça hoje, clima hostil e brigas a todo momento, polícia teve que intervir. URL",0,0
"USER te manca mongol. Esses flamenguistas se acham inteligentes, mas é só pose",1,1
pensando em tomar um banho aqui na academia pra ir pra casa e tomar outro banho quando chegar em casa,0,0
"@user momento do jesus é superior. se fosse final de copa do mundo, iria de urso. mas não é.",0,0
Sem palavras sobre essa juíza fascista!..,0,1
caralho eu tô muito linda,0,0
"Mano hj deu uma vontade de bater em um veio bêbado o cara tava enchendo o saco da mulher que tava vendendo salgados por causa do Filho dela mano que raiva que me deu desse velho fdp"" mais uma vez a prova que drogado afunda esse pais bando de merda alcoolotra",1,1
"Se a presidência da República estivesse simplesmente vaga, a situação do Brasil estaria bem melhor. O esporte do atual ocupante é matar gente, covardemente. E, claro, debochar das vítimas.",0,1
USER - vão a falência! USER!,0,1
QUE ODIOOO caiu uma latinha de cerveja no meu pé pqp,0,0
Apanhou foi é pouco olha quanta asneiras esse cara falou c tá loco,0,1
queria ⭐️ degustando uma flor com outra flor https://t.co/snrrn9vy5h,0,0
USER USER !! vc conseguiu sem dinheiro e sem beleza comer USER USER EVANGELICA !! VC E FODA !!! SOU SEU USER !!!,0,1
"Um lixo, espero que saqueiem todas as lojas. Puxa saco sem vergonha, de um presidente cretino. Foda-se",0,1
"ninguem perguntou sua opinião, pq todo influencer é so burro q ficou famoso?",1,1
"e eu que decorei o cpf da minha mãe, do meu pai, o meu e tbm meu rg  mas esqueço meu numero de celular qnd perguntam",0,0
aliás 15h e ainda sem almoçar,0,0
Esses índios não cansam de passar vergonha?,1,0
a tal da inércia é uma desgraçada né,0,0
me preparando psicologicamente para a msg de arthur dizendo q morgou do role,0,0
meu deus que parada abusiva puta merda,0,0
"@user um absurdo, uma deusa dessa",0,0
@user deus te livre kkkkkk,0,0
"gordo devia pagar dois ingresso no cinema, ocupa espaco demais",1,0
vc é retardado? É só um depressivo pra não entender o básico,1,1
"Meu USER, esse cara é um doente. É um ator e está se vingado do esposo falando detalhes da relação que teve essa pobre mulher. Não conseguiu me convencer com esse teatro. Se ele fosse um homem de caráter, não ficaria com esse discurso . USER, USER e USER....",0,1
"●MINUUSERGEM MELHORES MOMENTOS DA TREUSER USER X BIEL: 3:31 USER vai à luta USER Então senhor USER levante para pegar água porque aqui vc não está de hóspede não! mulher é burra msm. 4:46 USER tem até medo de chegar perto da fera kk 5:04 o auge kkj vc só ouve o USER USER USER dos palavrão kkkk USER USER agora USER, ri agora, não vem me olhar com olhar de deboche não, faz gracinha sustenta! USER Eu to cega? EU TO USER???? 6:13 """"Sustenta tua gracinha"""" frase oficial de jojo 6:31 USER manda jogar a água fora para o USER buscar e encher 6:36 kkkk 6:40 Oh USER não passa pano não porque ontem vocês pegaram agua, então hoje quem vai pegar água nessa porra É USER!!! USER USER, VUSER USER SUA FUNÇÃO...(parece minha mãe gritando cmg) USER NO SPA??? USER NO SPA??? E É USER USER USER USER USER",1,1
"Pediu desculpas porque viu as consequências. Das outras vezes qye falou merda não pediu, espero que se foda bem muito.",0,1
"Exatamente, todo ladrão, mentirosa e vagabundo é bom de conversa. Ele tem problemas mentais assim como ela, que respeito ele mostrou ao expor isso tudo? Se é que isso tudo é verdade neh",0,1
USER USER Eu te odeioooooo,0,1
Ele diz que errou na forma que defendeu e não que mudou o pensamento enfim ele é um bosta,0,1
Esses gordos têm preguiça até de pensar,1,0
eu nao peguei o monitor,0,0
rt @user pegar um solzin kkk https://t.co/1m94uzln7z,0,0
USER Eu tô sou lixo mesmo kkkk,0,1
"USER Verdade, te achei, e olha que nem precisei cavar, cretina! Hahahaha",0,1
"Esses GAYS do sul são mt arrogantes, nem sabem o que é humildade",1,0
Que horror muiito gorda é feio mesmo.,0,1
"Butler é o famoso afunda lobby e, você LOWRY VOLTA PRA TORONTO seu safado. gringo so suja me pais",1,1
rt @user quando o jungkook atravessou o oceano pra ficar ao lado do jimin https://t.co/ssxi3icems,0,0
"esse povo do sul são mt arrogantes, sempre acham que são os melhores",1,0
"O cara transou com a mulher do outro e ainda cita Deus. Pra mim isso é hipocrisia igual dizer: estou dizendo para jogar pedras, estou pedindo que deixe de ser influenciado e reconheça o vitimismo onde h eu sou o mais humilde da festa. USER que se solidarizou, por favor tenha pena de como a situação de rua destrói alguém, e não do pecador em sí. Nãoá.",0,1
"USER vadia aproveitadora. bando de mulher arrombada, ta errada e ainda ganha apoio da manada",1,1
USER KKKKKKKKKKKKKKKKK sai fora continuo odiandi gay lesbica sapatao,1,0
não tô conseguindo assistir nenhuma série pqp,0,0
calaa bola branquelo fudido. pra mim branco nem é gente,1,1
Vocês são intolerantes e não valorizam a diversidade,1,0
"Pensou se o USER voltar para ti, você não sabe de nada, não tá desculpada, irresponsável, sem respeito. Já era acabou, mancha não sai mais ok?",0,1
"quase comentei """"caramba você é igual a sua mãe!"""" na foto de um colega mas é só ele e uma amiga",0,0
"Butler é o famoso afunda lobby e, você LOWRY VOLTA PRA TORONTO seu safado",0,1
"Os homens são todos violentos, só sabem resolver tudo na porrada.",1,0
"USER é aquele cara que quer saber de tudo, mas não sabe de porra nenhuma rsrs, o famoso sulista estudioso",1,1
"Esses homens são mt chatos, nem sabem se divertir",1,0
A sem-vergonha é a abençoada!!! Tão querendo explicar o inexplicável.. que conversa de surto ..,0,1
USER não faz nada só mata o povo mas a população não vê,0,1
"mulher q n sabe cozinhar é inutil, seu lugar é na cozinha memo, cala boca puta",1,1
qual paredão não toca brega funk vsf,0,0
"Vocês dos carros são mt fdp, sempre achando que são os melhores",1,0
"Esses gays são mt exagerados, nem sabem o que é moderação",1,0
"chovendo pra porra e meu lanche tá vindo agora, como eu vou pegar isso mano",0,0
"vegano devia ser obrigado a comer carne, sao todos desnutridos e ainda tenho que ficar ouvindo esse bixo me encher de merda no ouvido. isso é uma ceita desgraçada",1,1
Enche o c USER de má USER USER. E vem falar merda pra cá 🎶🎶 😂,0,1
"nossa que ódio do Arthur se fazendo de coitado e falando que botando ele no paredão não sei como ninguém soltou um """"ai vai tomar no cu"""" quando ele começou a falar pq sinceramente",0,1
"neguin são mt cheios de vícios, só sabem ser preguiçosos",1,0
USER USER USER Quem pede esse cara gente pra ficar falando do cruzeiro? Será q não tem mais nenhum time pra ele encher o saco não? A vá tomar no cu. flamenguista é retardado.. cara lá da puta que pariu só fala de cruzeiro.. depois toma dois tapa na cara na rua e não sabe pq!,1,1
"📝 ARMYs fizeram doações à Associação de Bem-Estar Animal da Coreia após Jin doar a essa mesma instituição em dezembro do ano passado! Disseram: “Estamos profundamente gratos ao @user e Jin pela boa influência que exercem, e também aos ARMYs.” 💜  🔗 https://t.co/p3GVXsQiAo https://t.co/bBV58dOtXY",0,0
"USER USER seu inteligente que viveu em um buraco todos esses anos, deixa eu te explicar uma coisinha.. não existe só casais héteros. esse bolsominion tao pra fude, bando de aberração",1,1
imbecil do caralho. Esses macho acham bonito ser ignorante,1,1
"a culpa dessa merda toda é dos liso fudido, que não tem um real nem pra fazer acontecer que nem voce pobre imundo",1,1
"RT USER: USER seu pedaço de merda, cabeludinho é uma raça maldita, espero que tomem bala perdida sem querer",1,1
feminista é tudo gorda feia q n consegue homem entao fica militando,1,0
Os mendigo têm a mania de se vitimizar. USER pobre fudido vai trabalhar,1,1
Mulher folgada eu mandava tnc e nao levantava. mulher tem que ir pra cozinha,1,1
"negro q se acha intelectual é piada, copia textos e acha q é phd",1,0
Eu nao entendo pq essa ariane ficou procurando felipe sendo q ele foi expulso por causa dela falsa falsa falsa falsa falsa falsa. so tem branquelo nazista aqui,1,1
diz que ama caralho https://t.co/mheerdvyia,0,0
USER USER !! vc conseguiu sem dinheiro e sem beleza comer USER USER EVANGELICA !! VC E FODA !!! SOU SEU USER !!!,0,1
Putas são mt chatas e sempre reclamam do que não é,1,0
Esses caras do interior sabem só dizer que o sul é pobre,1,0
"gente pobre n devia ter filho, so faz mais pobre pra sociedade",1,0
Não sei nem pq eu sai de casa hoje!,0,0
"asiatico nao sabe dirigir, deviam tirar a carteira de todo japa chines",1,0
Esse USER é podre mesmo viu vai tomar no c***.....,0,1
"USER Quem mais aqui acha que Lula é a esperança dos banqueiros milionários neoliberais, dos parasitas ávidos por """"boquinhas"""" e dos golpistas corruptos do Centrão?",0,1
seu pedaço de merda.Pq os negros simplesmente n somem?,1,1
Eu desprezo e fodace. Achou ruim? Come menos URL,0,1
"Este USER é um lixo, imoral, e os filhos dele uns corruptos machistas de berço.",0,1
é grande eh???,0,0
USER tu acordou dpois de 2 dias foi passar mal por causa do pesadelo Ah vá próxima a sair dramática pra caramba mentirosa sapatona esquerdista,1,1
USER ent vai a merda mulherzinha problematica,1,1
da série ninguém respeita versão: os argentinos 😂😂😂😂😂😂😂😂😂😂😂😂😂,1,0
@user caralho,0,0
rt @user vamo aproveitar e enaltecer de novo esse vídeo perfeito enquanto a gente vota  #mpn #nowunited #uniters   https://t.co/2jv鈥�,0,0
Até quando vamos ter que aturar esses gays?,1,0
os cria vai piar aq em casa p ver vingadores,0,0
"na moral, sou um lixo mesmo",0,0
"Mulheres da minha idade são mt chatas, sempre querem dominar",1,0
rt @user tem mais de 1 mês que tomo remédio todos  os dias e nada de melhorar,0,0
até hj todo mundo nota que eu caminho meio torta,0,0
Pqp q vagabundas chatas do caralho,1,0
pqp eu sou uma merda to fudida chorando d desespero,0,1
"negro q fala q sofre racismo é mimimi, querem sempre vitimismo",1,0
USER BURRA DMS. gente pobre tem q parar de ter netflix e pagar aluguel primeiro,1,1
Fala mau mais tem o livro USER seu invejojo cala a sua boca troxa panaca. petista é tudo conservador enrustido,1,1
"Não confio em escuros, nunca dá bom",1,0
"voce é burra dms, mulher q trabalha mais q homem é lesbica",1,1
"cara sem noção, fdp,pqp cadeirante só atrapalha no busão",1,1
“Errei mas pelo menos tô tentando melhorar.”,0,0
USER vai se foder bicha piranha. Alguém precisa calar a boca desses viadinhos urgente,1,1
"Esses trans são mt exagerados, nem sabem o que é respeito e nem se respeitam",1,0
gente pq vocês estão colocando esses quadradinhos nos nomes de vocês? não dá pra ler nada poxa,0,0
USER vc tá passando vergonha sua piriguete,0,1
"RT USER: USER USER Pois eh, quem é esse lixo de Pablo, sei oq é isso aí, não dá pra definir!!!",0,1
"USER USER Até a marmita de político admite que o Presidente Bolsonaro está em alta ....acordem petralhas, vá descansar na prisão ladrao....lá é o seu lugar ou nos quintos dos infernos sentado no colo do seu pai 👿 URL",1,1
"USER seu animal, tu deixou teu time jogar 5 vezes a série B kkkk, torcida mais frouxa e covarde que existe. tu Tirou o pau do Flamengo da boca já? Atomozinho penta série B",1,1
"Não sei o que é pior, hetero ou quem defende eles",1,0
"essas vadias são muito complicadas, sempre querem e nem sabem o que é igualdade",1,0
"lugar de nego é na cadeia, isso sim",1,0
"RT USER: USER USER USER Tá passando pano sim querida, deram espaço pra essa merda aí e ainda deram capital…",0,1
"ai, que tédio 😒 vou assistir alguma coisa",0,0
"USER mulher fudida pra caralho, toda mulher devia so cozinha e lava roupa calada",1,1
eu perdi. perdi o 50/50. pra vagabunda. da mona. URL,0,1
"USER USER USER! 😂USER de perseguição e censura mas é exatamente isso que o Na7ism0 faz. Foi isso que você defendeu liberar até um partido. Tá gostando da amostra? Drogas criam burros e hipócritas, NÃO USEM",0,1
é muito bom rever os amigos do ensino medio 🥰,0,0
Melhor menos um homofóbico no local,0,1
Nossa nada me tira que aquele ex da jade o j*** g é uma bixona e ainda se veste igual uma,0,1
https://t.co/tAp1grukF8  Cantor e compositor Gabriel Valim divulgou nesta sexta-feira (02) o videoclipe da faixa 'Um Amigo Para Sua Amiga'.  Acesse o Portal Spybat e veja os detalhes dessa nova produção do artista.  #Spybat #GabrielValim #UmAmigoParaSuaAmiga #PortalSpybat,0,0
USER ai caio vai se fuder mulher putinha retartada,1,1
puts só queria estar no barão agora,0,0
Se explode junto com tua raça nojento. tinha q mandar todos os islamico de volta pra casa nesse carai,1,1
"sua inutil do caralho, num queria ser mulher? traveco q n sabe cozinhar devia ter vergonha na cara",1,1
"esses maconheiro deviam ser preso, viciado n presta, seu fdp sem noção",1,1
rt @user avine vinny é muito mais lindo de perto pqp,0,0
Infelizmente a USER e . inútil saidinha pra esses . monstros o pai matar a própria filha e a dor dessa mãe infelizmente a USER não foi feita,0,1
"Todo homem é mt preconceituoso, nem sequer vê o que é justo",1,0
"veio é uma raca sebosa. USER Outro velho broxa mentindo 🤡 esse vídeo tem 5 anos, é de 2017. URL",1,1
kkkkkkkk...esse cara é muito fudido!!! nunca vou ser fan dele...,0,1
"Esses afeminados vivem num mundo de fantasia, pqp nao enche meu saco viado",1,1
"esse USER é um hipocrita deixa de defender seus ideais pra qualquer um que ofereça mais ,0",1,0
se voce se chama de gamer significa que é virjão q n sai de casa,1,0
USER!!! Concordo plenamente! Mas se você for não for tão pobre pra entender que esse tal de 'USER' é mais uma babaquice da indústria cultural sulista para fazer as gerações de jovens se refugiarem em suas fantasias contra um mundo caótico que eles acabam ajudando a recriar. 'USER' é um convite à esquizoidia. Tem que sumirem com esses sulistas sn já era,1,1
sotaque do triângulo mineiro. tão gostoso quanto café com pão de queijo 🔺,0,0
revoltante.,0,0
Gays do sul são arrogantes e não sabem ser humildes,1,0
USER Ladrão filho de uma puta,0,1
Você user é um mentiroso não dá para confiar,0,1
"Tiro de contexto o que mlk USER só falou merda e quer tá certo. quanto branco imbecil, tudo nazi",1,1
"USER USER seu viado nojento do caralho, smt ent podre verme inutil",0,1
"nordestino tem cabeça de barata, vota no lula ate morrer de fome",1,0
"Mulheres são mt chatas, sempre reclamam do que não é e nem sabem o que é calma",1,0
@user eu me sinto muito estranha com conhecidos do lado porque eu sou emocionada jahah hj eu vou até levar uns lencinhos pq vai que,0,0
"homens são mt cheios de ego, nem sabem o que é humildade",1,0
"esse é o nosso presidente kkkk bando de retardado doente, ta mais e USER na hora desse maluco sair do poder",0,1
cala a boca vizinha,0,1
alguem manda o meu utero calar a boca pelo amor de deus,0,0
"Assisti essa porra ontem, mas é claro, tava apenas acompanhando umas amigas, apenas isso... Enfim, prestei atenção em algumas partes, tipo a da cabana e quase fui expulso da sala por gritar que alem de corno, o vampirinho era viado! Muito bom, Felipe. Continue botando pra foder com todas essas boiolagens da atualidade. Sou seu fã cara! :D",0,1
"fui ouvir drag me down, chorei                    saudades",0,0
"voce é um pedaço de merda, mulher q n quer ter filho é egoista, biologicamente falhando",1,1
"Mulheres são mt complicadas, sempre querem controlar e nem sabem o que é liberdade",1,0
Lugar de mulher arrogante é na cozinha pra virar gente,1,0
USER é maravilhosa😍,0,0
rt @user @user coisas de quem ama paulinha na fab,0,0
USER Bolsonaro tá cagando pra aquela porcaria se toca idiota.,0,1
"esses japa sao todos iguais, nao da pra diferenciar um do outro não enche o saco juong cock",1,1
"Você é a favor da liberdade de expressão Felipe USER? USER. É liberdade de expressão chamar o presidente de genocida, Felipe USER!? USER. É liberdade de expressão achar errado um casal homossexual, Felipe USER!? -Também não é assim, né! É liberdade de expressão dizer q deveria existir um partido nazista, Felipe USER!? -GILMAR USER, USER USER USER USER USER, PRENUSER ESSE USER USER!",0,1
"Petralha ridicula. Pois é, decaiu depois de sofrer uma lavagem cerebral das feministas",1,1
Gays do sul são arrogantes e não sabem ser humildes,1,0
USER E você e a terceira via mais inútil que o país tem kkkkkk negros mais uma vez atrasando o brasil,1,1
"USER USER tenho msm mana sou conhecida no tt por maria putinha, vc queria oq? q eu passasse na dm dos outros falando a palavra de Deus?",0,1
"Esses gays são todos promíscuos, só pensam em sexo.",1,0
"Todo branco é mt mesquinho, quer controlar tudo",1,0
"vegano é tudo doente da cabeça, deviam comer uma carne logo",1,0
"Esses homos são mt chatos, nem sabem o que é respeito",1,0
"vegano é tudo magrelo doente, parece q ta em campanha de fome, USER vai se tratar, seu louco",1,1
USER só fala bosta sua louca. Vcs perceberam que toda feminista é completamente desligada da realidade?,1,1
Vocês da periferia são mt atentos e cheios de pega,1,0
"USER Vc é um oportunista mentiroso, enganador",0,1
USER mulher fudida pra caralho,0,1
mais natural que respirar é deixar pra fazer as coisas em cima da hora,0,0
"USER Chorou tanto. Falou que foi perseguido pra agora vir com essa? Vc teve a chance de se mostrar alguém descente, mas não só cagou hipocrisia. Quando Moro foi perguntado do seu caso, não te pré-julgou, nem postou nada sobre o caso, diante de tudo isso 0% de chances de ter meu voto. Nego no final é sempre só mais um nego",1,1
Ai aonde a tua maconha te levou KKKkKkkK,0,1
"logo menos ta na pista o clipe light em família, isso é 22music pra caralho! quem puder fortalecer no rt ai, tamo junto!! 🚀🚀 @user @user https://t.co/jkegLiqc3W",0,0
Esses não binários se juntam e acham que mandam no mundo,1,0
KKKKKKKKKKKKKK vai dar ruim,0,0
"Todo estrangeiro é mt perigoso, não tem nenhuma cultura",1,0
Neguin são mt descobertos e cheios de podridao,1,0
pqp perdi o jogo de vôlei hoje,0,0
"Esse personal é uma vergonha. Corno ,por que não assumiu a verdade que todos viram,e que sua esposa confessou para o delegado,aí invés de ficar pagando de otario 🤔🤔",0,1
"kkkkk nenguin tentando ser gente, q piada",1,0
USER gostoso foi boa USER e feia,0,1
karaiiiiiiiiiiiiiiiiiiiiiiiiii esse kara é retardado mas eu rachei de rir,0,1
vc eh doente tambem pra querer defender lulinha,0,1
vampiro vampiro vampiro omg omg vampiro. calaboka porra USER,0,1
o povo não precisa de stf. o povo não escolheu ninguém para o stf. o povo está sendo sempre prejudicado pelo stf. #stfvergonhanacional,0,0
"vc é doente? Sempre que uma mediocre fala, sai besteira",1,1
"Esses homens são mt cheios de ego, nem sabem o que é humildade",1,0
"Você está no show do Now United e o Bailey te olha assim e segura sua mão, seu último meme salvo é a sua reação   #MPN #NowUnited #Uniters https://t.co/xqhJPEOKev",0,0
Esses deficientes vivem num mundo paralelo kkk,1,0
teu pai é um fracassado não consegue nada,0,1
@user kkkkkkkkkk então e o baby?,0,0
"Ficar em casa no sábado a noite e assistir friends pela quinta vez, ou ir no aniversário do heitor onde vai tá frio e eu corro o risco de tomar um porre? Claro que a segunda opção pq eu sou idiota",0,0
"O objetivo desse pleito é retirar um homem corrupto, desequilibrado, mentiroso, alimentado pelo caos social, metido com pilantras, família envolvida em transações espúrias... É uma eleição diferente. Não se pode viver nessa esquizofrenia social do bolsonarismo. Chega de utopias.Ma infelizmente tem pessoas que devem ter esquizofrenia e não entender o que está acontecendo",1,1
eu quando to perto dos meus amg @user @user @user,0,0
"Analfabeta não é humano, é praga",1,0
Paulinha ta podre prr🤣🤣🤣🤢,0,1
"Os gordos são todos comilões, não sabem parar de comer.",1,0
todo corno faz muuuuuu e tu não é diferente ne seu nojento pq todo mundo sabe que traveco é objeto URL,1,1
USER Cala a boca vagabundo lixo...defensor de bandido isso é coisa de esquerdista.,1,1
"vc só fala bosta, o mundo seria mil vezes melhor sem americano",1,1
"Eu sempre achei o programa uma bosta, mas bosta mesmo (além do que foi falado sobre os nazistas) foi a desculpa de covarde que ele deu. COVARDE !!!!!! CHORA, GAROTINHO.",0,1
tava falando com meu ex sobre a mãe dele e descobri que ela aprendeu a mexer no YouTube (ganhou o primeiro smartphone ano passado) e fica vendo vídeo de:  - orações  - noticias sobre saúde - músicas aleatórias  - vídeos de minecraft   eu amo dona nenê porra,0,0
"vc é um filho da puta USER tem medo de enfrentar os fatos ,0",1,0
@user precisamos tomar às ruas e exigir a saída dos 11 criminosos  do stf...  #stfvergonhanacional,0,0
"Esses caras do sul são mt arrogantes, nem sabem o que é humildade",1,0
Gente quem me viu quem me vê kkkk arrumo k.o até com macho escroto . Entro pra dentro do problema kkkk Nem pareceu a Hayssa sã e calma 🤣🙄,0,1
como eu consigo ser tão trouxa,0,1
"tu é um inútil USER não serve pra nada além de seguir a massa ,0",1,0
vc é um covarde USER tem medo de falar na minha cara,0,1
"Porra, os brancos são mt arrogantes, nem sabem o que é humildade",1,0
@user @user @user que braveza gente !!!,0,0
Quando que isso vai passar? Puta que pariu eu não aguento mais,0,0
favelados só sabem fazer merda e não saber se arrepender,1,0
caraio eu so burra eu tenho o MEU IRMÃO q eh tipo uma josi sem diploma (poxa henrique trancou o curso no último ano isso q da ser macoero) p me explica as coisa vivaaaaaaaa,0,1
"USER USER 🤣🤣com essa cara de otário, imagino a amante. homem nasceu pra ser otario",1,1
fala do presidente genocida de nazista e ninguem fala nada o monark falou merda mas e USER USER fala e não da nada hipócrita vc viu. povo burro,1,1
péssimo tweet. nojento. abjeto. URL,0,1
se é rico é tudo psicopata sem coração,1,0
"Parabéns USER, adorei imenso. """"Fodeu tudo mesmo!"""" 10/5*",0,1
"lazarenta, fofoqueira, chata, boba, feia, esquisita, mds que ÓDIO",0,1
40 minutos que poderiam ter sido 10! Que cara esquisito 😂 podia ser político por tanta volta que dá no assunto!,0,1
SDV-DIREITA UNIDA @user @user @user @user @user  @user @user @user  @user  @user @user  @user  @user  @user @user  @user  @user @user @user,0,0
no insta paga de bandido no off é todo palhaço,0,1
"USER! O argumento desse Monark é o uso da palavra """"M3rda""""... e só., o cara não tem condições. estúpido",0,1
mano to muito de cara q minha bateria viciou mano vsf,0,0
Ok fui tentar tirar uma aranha do meu quarto com o chinelo sem matar pq sou amigo dos animais etc  Deixei cair e agora a aranha SUMIU  SENHOR PENSEI Q TU ME SONDAVAS,0,0
"#Extinção - com patrocínio de Stark Industries, temos o prazer de anunciar o primeiro evento beneficente do nosso grupo! Se tiver interesse de participar da festa, favorite este post.  +Infos nos comentários. https://t.co/tZefgDLJlI",0,0
Provavelmente amanhã eu vou ver o arrombado falido que me deixou tan tan das ideia. pobre so faz merda,1,1
"Filha zé droga, ex-marido traficante, cunhado pedófilo. Essa são as pessoas que rodeiam USER, deputada q _ URL",0,1
"Esses autistas se acham donos da verdade, pqp",1,0
"esses crente da universal da dinheiro pro pastor comprar jatinho, e o imbecil ainda se gaba, fdp sem noção mrm",1,1
Filho da mae ainda bem que prenderam o cara poxa tava indo tao tomara que USER sobreviva pq se n o USER ta perdido,0,1
voce é um viado tinha que ser ele pra falar tanta merda,0,1
só podia ser um idiota como você falando besteiras sobre comunismo,0,1
Mulheres são irritantes e não sabem ser calmas,1,0
"USER Quem mais aqui acha que Lula é a esperança dos banqueiros milionários neoliberais, dos parasitas ávidos por """"boquinhas"""" e dos golpistas corruptos do Centrão? se petista devia ser crime",1,1
essa menina é uma arrombada e tem gnt q da palco ainda,0,1
"USER fala muita merda, era questão de tempo ele fazer algo do tipo! USER devia ter previsto isso... USER tem apenas idade de um adulto, é um cara desconstruido e imaturo.",0,1
Agradeço aos elogios sobre meu bumbum URL,0,0
"mulher q n quer ter filho é egoista, biologicamente falhando",1,0
USER é uma gordinha muito bonita,0,1
"Povo ignorante bota um sujeito assim pra fazer fazer e votar lei, depois reclama que a lei não presta. URL",1,0
"Acrescento que esse morador de rua está mentindo, criando fábulas, expondo uma mulher que independente de estar consciente ou não, é uma mulher com uma filha pequena e que merece respeito. Que situação triste para todos. E que audácia desse homem se expor dessa forma. Assisti a uma nova entrevista dele, onde ele usa palavras de baixo calão como """"dei leitinho pra ela"""" , """"comi o rabo dela"""". Terrível e nojento. Apanhou pouco.",0,1
"Ela falou pouco ainda , o cara mimado passa o dia sem fazer poha nenhuma, ainda da punição para casa , ainda que quer busquem agua para ele banhar ,? USER USER falou foi pouco ainda",0,1
"tão gostosinho ver a casa limpinha e cheirosa, af eu amo 🥰",0,0
"A USER está sendo trouxa. A USER que não tem coragem de dizer nada ( porque não quer lidar com as consequências ) enche a cabeça da USER de coisas, porque sabe que ela não se controla e vai rapidinho lá tentar resolver ( sempre da pior forma possível) e assim a USER fica se queimando. A USER acha que está sendo inteligente e tal, mas está sendo manipulada.",0,1
"viado q adota criança é pedofilo disfarçado, vai estragar a criança boiola do caralho",1,1
"Esses indiozinho são uma praga. USER tu n devia nem existir, os portugueses infelizmente falharam em esterminar seus antepaçados",1,1
@user @user @user @user kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk aaaaaah pqp mermão tá de sacanagem,0,0
rt USER aí mano que ridículo ficar roubando coisa dos outros né?! consciência de psycho essa daí...esses nordestino saão foda viu,1,1
esse USER é um traidor vende o país pra qualquer um que pague mais,0,1
esses emo tudo cortado devia se matar logo,1,0
"qualquer coisa me faz chorar, me olhou feio? eu choro. vi um cachorro abandonado na rua? choro. comercial emocionante? choro também",0,0
O teu amor próprio me contagiou ! Obrigada por representar tantas gordinhas que sofrem pelo seu próprio corpo ❤,0,0
"USER USER Imagine a uma mãe/pai ter um filho imbecil, alienado como esse.... Cresça meu filho.",0,1
